yearel,myoutcomenext,difshare
1976,1,.3098311
1976,0,-.3098311
1976,0,-.6422129
1978,0,.3984448
1978,0,-.3984448
1980,1,.0674883
1980,0,-.0674883
1982,1,.1227145
1982,0,-.1227145
1982,0,-.5503358
1984,1,.0919637
1984,0,-.0919637
1984,0,-.5392525
1986,1,.3476909
1986,0,-.3476909
1988,1,.2723633
1988,0,-.2723633
1990,1,.1941003
1990,0,-.1941003
1992,1,.0159657
1992,0,-.0159657
1994,1,.0001129
1994,0,-.0001129
1994,0,-.2766256
1996,1,.0664869
1996,0,-.0664869
1996,0,-.4868957
1996,0,-.5102509
1946,0,.1772101
1946,0,-.1772101
1948,0,.0067007
1948,0,-.0067007
1948,0,-.4837248
1950,0,.0411621
1950,0,-.0411621
1950,0,-.5164167
1952,1,.0551738
1952,0,-.0551738
1954,1,.0532753
1954,0,-.0532753
1956,0,.1999924
1956,1,-.1999924
1958,1,.1244512
1958,0,-.1244512
1960,1,.0982109
1960,0,-.0982109
1962,1,.1204271
1962,0,-.1204271
1964,1,.2779323
1964,0,-.2779323
1966,1,.1160787
1966,0,-.1160787
1966,0,-.4771985
1968,1,.1154299
1968,0,-.1154299
1968,0,-.5045246
1970,1,.1223006
1970,0,-.1223006
1970,0,-.5146211
1972,1,.0655035
1972,0,-.0655035
1974,1,.3369878
1974,0,-.3369878
1974,0,-.6303556
1974,0,-.6382534
1976,1,.1118887
1976,0,-.1118887
1976,0,-.5330806
1976,0,-.5403036
1978,0,.1811168
1978,0,-.1811168
1978,0,-.5629289
1980,0,.0586707
1980,0,-.0586707
1980,0,-.511152
1982,1,.0092974
1982,0,-.0092974
1982,0,-.4931082
1982,0,-.4956875
1984,1,.0540735
1984,0,-.0540735
1984,0,-.5240302
1984,0,-.5249497
1986,1,.3929133
1986,0,-.3929133
1988,0,.3298567
1988,0,-.3298567
1990,1,.0420866
1990,0,-.0420866
1992,1,.3135747
1992,0,-.3135747
1994,1,.2689801
1994,0,-.2689801
1996,1,.432752
1996,0,-.432752
1996,0,-.7077245
1946,1,.2174883
1946,0,-.2174883
1946,0,-.5136999
1946,0,-.553978
1948,0,.1176281
1948,0,-.1176281
1948,0,-.5369177
1950,1,.1102875
1950,0,-.1102875
1950,0,-.4821981
1952,1,.2071863
1952,0,-.2071863
1952,0,-.5947416
1954,1,.1483352
1954,0,-.1483352
1954,0,-.5373423
1956,0,.3723379
1956,0,-.3723379
1956,0,-.6784968
1958,0,.018111
1958,0,-.018111
1960,1,.0333611
1960,0,-.0333611
1960,0,-.5054261
1962,0,.0401362
1962,0,-.0401362
1964,1,.0362127
1964,0,-.0362127
1966,0,.0191541
1966,0,-.0191541
1968,0,.0407918
1968,0,-.0407918
1968,0,-.5014281
1970,1,.1397187
1970,0,-.1397187
1970,0,-.5582572
1972,1,.2616923
1972,0,-.2616923
1974,1,.0800359
1974,0,-.0800359
1974,0,-.5157839
1976,1,.2395367
1976,0,-.2395367
1976,0,-.5940889
1976,0,-.6068356
1978,1,.1672735
1978,0,-.1672735
1980,1,.251542
1980,0,-.251542
1982,1,.1359277
1982,0,-.1359277
1982,0,-.5577738
1984,1,.407879
1984,0,-.407879
1986,0,.0708199
1986,0,-.0708199
1988,1,.4471072
1988,0,-.4471072
1988,0,-.7062285
1990,1,.5312459
1990,0,-.5312459
1992,1,.4059543
1992,0,-.4059543
1992,0,-.6199148
1992,0,-.6665164
1994,1,.5064123
1994,0,-.5064123
1994,0,-.7307122
1994,0,-.7394704
1996,1,.2282809
1996,0,-.2282809
1996,0,-.5906143
1996,0,-.5993842
1946,1,.1230538
1946,0,-.1230538
1946,0,-.469521
1948,1,.0366212
1948,0,-.0366212
1948,0,-.5005488
1948,0,-.5054192
1950,1,.0737132
1950,0,-.0737132
1950,0,-.5197175
1950,0,-.5276254
1952,1,.1340926
1952,0,-.1340926
1954,1,.0550076
1954,0,-.0550076
1956,0,.2385101
1956,0,-.2385101
1958,1,.0759575
1958,0,-.0759575
1960,1,.1019878
1960,0,-.1019878
1962,1,.1702963
1962,0,-.1702963
1964,1,.3460447
1964,0,-.3460447
1966,1,.1812563
1966,0,-.1812563
1968,1,.1263015
1968,0,-.1263015
1970,0,.1046542
1970,0,-.1046542
1970,0,-.5376987
1972,1,.0236636
1972,0,-.0236636
1974,1,.0243586
1974,0,-.0243586
1974,0,-.4877385
1976,0,.3376303
1976,0,-.3376303
1976,0,-.6577396
1978,1,.0463818
1978,0,-.0463818
1980,1,.0073069
1980,0,-.0073069
1982,0,.1762328
1982,0,-.1762328
1982,0,-.5777082
1984,1,.0884038
1984,0,-.0884038
1984,0,-.540886
1986,1,.217811
1986,0,-.217811
1988,0,.4727738
1988,0,-.4727738
1990,1,.0446524
1990,0,-.0446524
1990,0,-.5067317
1992,1,.125269
1992,0,-.125269
1992,0,-.2117045
1992,0,-.4153478
1992,0,-.4329353
1992,0,-.43393
1994,0,.0667289
1994,1,-.0667289
1994,0,-.4993606
1996,1,.061321
1996,0,-.061321
1996,0,-.5066286
1996,0,-.5140287
1964,0,.1749363
1964,1,-.1749363
1966,1,.0121908
1966,0,-.0121908
1966,0,-.4547739
1968,0,.2457544
1968,0,-.2457544
1970,1,.0213983
1970,0,-.0213983
1972,0,.2038288
1972,0,-.2038288
1974,1,.2730199
1974,0,-.2730199
1974,0,-.6301317
1976,1,.1366028
1976,0,-.1366028
1976,0,-.5619811
1978,1,.2839566
1978,0,-.2839566
1980,0,.1832727
1980,0,-.1832727
1980,0,-.5854692
1982,1,.0389953
1982,0,-.0389953
1982,0,-.5110171
1984,1,.2796621
1984,0,-.2796621
1986,1,.2835093
1986,0,-.2835093
1988,1,.3301391
1988,0,-.3301391
1988,0,-.6583955
1990,1,.487406
1990,0,-.487406
1992,1,.4448887
1992,0,-.4448887
1992,0,-.6570324
1992,0,-.6898667
1992,0,-.6925421
1994,1,.3237908
1994,0,-.3237908
1994,0,-.5925061
1996,1,.006968
1996,0,-.006968
1996,0,-.4817304
1946,1,.1472566
1946,0,-.1472566
1946,0,-.522902
1946,0,-.5539715
1948,1,.0045067
1948,0,-.0045067
1948,0,-.4810161
1948,0,-.4855263
1950,1,.0084553
1950,0,-.0084553
1950,0,-.4761837
1950,0,-.4913079
1952,1,.1020094
1952,0,-.1020094
1952,0,-.546802
1954,1,.0200952
1954,0,-.0200952
1956,0,.2290072
1956,0,-.2290072
1958,1,.1207553
1958,0,-.1207553
1960,0,.0795062
1960,0,-.0795062
1962,1,.0541698
1962,0,-.0541698
1964,0,.0010651
1964,0,-.0010651
1966,1,.0515417
1966,0,-.0515417
1966,0,-.4597978
1968,1,.1324619
1968,0,-.1324619
1970,1,.1832368
1970,0,-.1832368
1972,0,.1872511
1972,0,-.1872511
1974,1,.0036169
1974,0,-.0036169
1976,1,.147531
1976,0,-.147531
1978,1,.256727
1978,0,-.256727
1978,0,-.5875512
1980,0,.369703
1980,0,-.369703
1982,1,.0240608
1982,0,-.0240608
1982,0,-.4864955
1984,0,.2704122
1984,0,-.2704122
1986,1,.0941815
1986,0,-.0941815
1986,0,-.5005693
1988,0,.2643505
1988,0,-.2643505
1990,1,.2039331
1990,0,-.2039331
1992,0,.3002246
1992,0,-.3002246
1994,0,.0378509
1994,0,-.0378509
1996,1,.1063073
1996,0,-.1063073
1964,1,.2400829
1964,0,-.2400829
1966,1,.1352422
1966,0,-.1352422
1968,1,.1141174
1968,0,-.1141174
1970,0,.2841864
1970,0,-.2841864
1972,1,.0877364
1972,0,-.0877364
1974,1,.4273858
1974,0,-.4273858
1976,0,.5745558
1976,0,-.5745558
1976,0,-.7387347
1978,1,.0996781
1978,0,-.0996781
1978,0,-.4617741
1978,0,-.497096
1978,0,-.4986564
1978,0,-.4991187
1978,0,-.5011414
1980,1,.5701844
1980,0,-.5701844
1982,1,.3330166
1982,0,-.3330166
1984,1,.531296
1984,0,-.531296
1984,0,-.7405726
1986,1,.5465943
1986,0,-.5465943
1988,1,.3241928
1988,0,-.3241928
1990,1,.02057
1990,0,-.02057
1992,0,.0712909
1992,0,-.0712909
1992,0,-.403042
1994,1,.049454
1994,0,-.049454
1994,0,-.3689892
1994,0,-.4096998
1996,1,.4712471
1996,0,-.4712471
1996,0,-.6868087
1946,1,.1829807
1946,0,-.1829807
1946,0,-.5580065
1948,1,.1435704
1948,0,-.1435704
1950,1,.3781344
1950,0,-.3781344
1952,1,.3448041
1952,0,-.3448041
1952,0,-.6693761
1954,1,.1116617
1954,0,-.1116617
1956,0,.276075
1956,0,-.276075
1956,0,-.6317415
1958,1,.1106061
1958,0,-.1106061
1958,0,-.5484101
1960,1,.3729865
1960,0,-.3729865
1960,0,-.6813933
1962,1,.4873087
1962,0,-.4873087
1974,1,.4227931
1974,0,-.4227931
1976,1,.2755418
1976,0,-.2755418
1980,1,.4977115
1980,0,-.4977115
1984,1,.4585908
1984,0,-.4585908
1986,0,.5560058
1986,0,-.5560058
1988,0,.6545638
1988,1,-.6545638
1990,0,.5512325
1990,0,-.5512325
1992,1,.0809986
1992,0,-.0809986
1992,0,-.4881332
1992,0,-.4988473
1992,0,-.5093705
1996,1,.054813
1996,0,-.054813
1946,0,.0283531
1946,1,-.0283531
1948,1,.0973417
1948,0,-.0973417
1950,0,.0928924
1950,0,-.0928924
1952,1,.0385289
1952,0,-.0385289
1952,0,-.5154684
1954,1,.1927211
1954,0,-.1927211
1956,1,.2244312
1956,0,-.2244312
1962,1,.3558177
1962,0,-.3558177
1968,1,.4729224
1968,0,-.4729224
1976,1,.4998465
1976,0,-.4998465
1976,0,-.6709772
1978,1,.4567124
1978,0,-.4567124
1980,1,.4567111
1980,0,-.4567111
1980,0,-.559283
1982,1,.4526385
1982,0,-.4526385
1984,1,.3739464
1984,0,-.3739464
1986,0,.3187932
1986,0,-.3187932
1988,1,.6050907
1988,0,-.6050907
1992,1,.220348
1992,0,-.220348
1992,0,-.3735307
1994,1,.2221445
1994,0,-.2221445
1994,0,-.534849
1996,1,.4978762
1996,0,-.4978762
1996,0,-.6770429
1996,0,-.6949006
1946,1,.2431328
1946,0,-.2431328
1948,1,.4789193
1948,0,-.4789193
1950,1,.4305191
1950,0,-.4305191
1952,1,.3491237
1952,0,-.3491237
1952,0,-.6704574
1956,1,.4188487
1956,0,-.4188487
1962,1,.4470527
1962,0,-.4470527
1966,1,.4207167
1966,0,-.4207167
1968,0,.2012596
1968,0,-.2012596
1968,0,-.2335687
1970,1,.0198298
1970,0,-.0198298
1970,0,-.1099208
1974,1,.1109451
1974,0,-.1109451
1974,0,-.3748979
1978,1,.5049181
1978,0,-.5049181
1980,1,.4461647
1980,0,-.4461647
1984,1,.3482604
1984,0,-.3482604
1992,1,.0608937
1992,0,-.0608937
1992,0,-.4668106
1992,0,-.4881268
1994,0,.1044064
1994,0,-.1044064
1994,0,-.5353889
1996,1,.0761511
1996,0,-.0761511
1996,0,-.518229
1946,1,.0097912
1946,0,-.0097912
1946,0,-.474939
1948,1,.1834804
1948,0,-.1834804
1950,1,.1436676
1950,0,-.1436676
1950,0,-.564546
1952,1,.093063
1952,0,-.093063
1952,0,-.539584
1954,1,.1426351
1954,0,-.1426351
1956,1,.1886308
1956,0,-.1886308
1958,1,.2757615
1958,0,-.2757615
1960,1,.2905281
1960,0,-.2905281
1962,1,.8091927
1962,0,-.8091927
1964,1,.4350642
1964,0,-.4350642
1968,1,.2190034
1968,0,-.2190034
1970,0,.086605
1970,0,-.086605
1972,1,.0461422
1972,0,-.0461422
1972,0,-.4415933
1974,1,.1611982
1974,0,-.1611982
1974,0,-.3642536
1976,1,.0414907
1976,0,-.0414907
1980,1,.0379607
1980,0,-.0379607
1982,1,.1906005
1982,0,-.1906005
1984,1,.4839931
1984,0,-.4839931
1986,1,.7770886
1986,0,-.7770886
1988,1,.4062637
1988,0,-.4062637
1990,1,.3106926
1990,0,-.3106926
1992,1,.4150576
1992,0,-.4150576
1992,0,-.6263341
1992,0,-.6666395
1996,1,.43323
1996,0,-.43323
1946,1,.4355757
1946,0,-.4355757
1946,0,-.7124879
1950,1,.5224961
1950,0,-.5224961
1952,1,.5219451
1952,0,-.5219451
1952,0,-.7542964
1956,1,.4656375
1956,0,-.4656375
1958,0,.3203654
1958,0,-.3203654
1960,1,.0902773
1960,0,-.0902773
1962,1,.1477401
1962,0,-.1477401
1964,1,.3001963
1964,0,-.3001963
1966,1,.496201
1966,0,-.496201
1968,1,.2081913
1968,0,-.2081913
1970,0,.2659621
1970,0,-.2659621
1972,0,.0872892
1972,0,-.0872892
1972,0,-.516169
1974,1,.2127911
1974,0,-.2127911
1976,0,.3462309
1976,0,-.3462309
1978,1,.2401665
1978,0,-.2401665
1978,0,-.3261657
1980,1,.3193893
1980,0,-.3193893
1982,0,.6949958
1982,0,-.6949958
1984,1,.0671172
1984,0,-.0671172
1988,1,.6823484
1988,0,-.6823484
1990,0,.0436215
1990,0,-.0436215
1992,1,.1468279
1992,0,-.1468279
1992,0,-.4477122
1992,0,-.4939904
1994,1,.3970585
1994,0,-.3970585
1946,1,.404168
1946,0,-.404168
1950,1,.4742759
1950,0,-.4742759
1952,1,.9014664
1952,0,-.9014664
1954,1,.4235976
1954,0,-.4235976
1960,1,.3185741
1960,0,-.3185741
1962,1,.123786
1962,0,-.123786
1964,1,.2921292
1964,0,-.2921292
1966,1,.3141102
1966,0,-.3141102
1968,0,.32157
1968,0,-.32157
1970,1,.2338755
1970,0,-.2338755
1972,1,.2811655
1972,0,-.2811655
1976,0,.1348341
1976,0,-.1348341
1976,0,-.5093325
1978,1,.0752339
1978,0,-.0752339
1980,1,.0374169
1980,0,-.0374169
1980,0,-.4932179
1980,0,-.5022789
1982,0,.1565736
1982,0,-.1565736
1984,0,.4394049
1984,0,-.4394049
1984,0,-.6720372
1988,1,.3942133
1988,0,-.3942133
1990,0,.301171
1990,0,-.301171
1992,1,.099916
1992,0,-.099916
1994,0,.0312081
1994,1,-.0312081
1994,0,-.4845254
1996,1,.0013054
1996,0,-.0013054
1996,0,-.4670559
1996,0,-.4730859
1996,0,-.4748591
1996,0,-.4772957
1946,1,.229529
1946,0,-.229529
1946,0,-.5929541
1948,1,.5841385
1948,0,-.5841385
1950,1,.5770732
1950,0,-.5770732
1950,0,-.7771313
1952,1,.5020968
1952,0,-.5020968
1952,0,-.739592
1956,1,.2894209
1956,0,-.2894209
1958,1,.5116546
1958,0,-.5116546
1962,1,.4316431
1962,0,-.4316431
1964,1,.5389509
1964,0,-.5389509
1966,1,.489883
1966,0,-.489883
1968,1,.250315
1968,0,-.250315
1970,1,.4444208
1970,0,-.4444208
1972,1,.3549787
1972,0,-.3549787
1974,0,.5956349
1974,0,-.5956349
1976,1,.5933118
1976,0,-.5933118
1976,0,-.7366406
1976,0,-.7466174
1978,1,.6968281
1978,0,-.6968281
1982,1,.556892
1982,0,-.556892
1984,1,.4282932
1984,0,-.4282932
1992,1,.3430485
1992,0,-.3430485
1992,0,-.5200909
1994,1,.2889653
1994,0,-.2889653
1996,1,.3970883
1996,0,-.3970883
1946,1,.2703526
1946,0,-.2703526
1948,1,.0207051
1948,0,-.0207051
1950,1,.0777471
1950,0,-.0777471
1952,0,.0225438
1952,0,-.0225438
1952,0,-.5049959
1954,1,.0638741
1954,0,-.0638741
1956,1,.0956955
1956,0,-.0956955
1958,1,.3271047
1958,0,-.3271047
1960,1,.3150567
1960,0,-.3150567
1962,0,.4590847
1962,0,-.4590847
1972,1,.773791
1972,0,-.773791
1974,1,.8099995
1974,0,-.8099995
1974,0,-.8259403
1976,0,.557501
1976,0,-.557501
1976,0,-.6984448
1976,0,-.7219933
1978,1,.5375003
1978,0,-.5375003
1978,0,-.7009035
1980,1,.5677911
1980,0,-.5677911
1982,1,.4975283
1982,0,-.4975283
1984,0,.8382004
1984,0,-.8382004
1986,1,.4443586
1986,0,-.4443586
1988,0,.6086984
1988,0,-.6086984
1990,0,.4963795
1990,0,-.4963795
1990,0,-.6720989
1992,1,.6627715
1992,0,-.6627715
1996,0,.6869442
1996,0,-.6869442
1946,0,.2305246
1946,0,-.2305246
1946,0,-.5943431
1948,1,.1333676
1948,0,-.1333676
1950,1,.1676475
1950,0,-.1676475
1950,0,-.574576
1952,1,.1858016
1952,0,-.1858016
1952,0,-.5885721
1954,1,.131641
1954,0,-.131641
1956,0,.2218126
1956,0,-.2218126
1958,1,.0937709
1958,0,-.0937709
1960,1,.1141347
1960,0,-.1141347
1964,1,.6569866
1964,0,-.6569866
1964,0,-.7527717
1968,0,.6588635
1968,0,-.6588635
1970,0,.3868075
1970,0,-.3868075
1970,0,-.3876429
1972,1,.0209936
1972,0,-.0209936
1972,0,-.2902479
1972,0,-.4175077
1974,1,.7862607
1974,0,-.7862607
1976,1,.4643163
1976,0,-.4643163
1976,0,-.642969
1976,0,-.6751312
1978,1,.8598807
1978,1,-.8598807
1978,0,-.895003
1982,1,.2973062
1982,0,-.2973062
1982,0,-.6249953
1986,1,.6757184
1986,0,-.6757184
1990,1,.4056232
1990,0,-.4056232
1992,1,.4782223
1992,0,-.4782223
1992,0,-.6306663
1992,0,-.6604539
1994,1,.3954955
1994,0,-.3954955
1996,1,.4449195
1996,0,-.4449195
1946,1,.2793257
1946,0,-.2793257
1948,1,.3907111
1948,0,-.3907111
1950,0,.1626575
1950,0,-.1626575
1950,0,-.570505
1952,1,.0923297
1952,0,-.0923297
1952,0,-.5377344
1954,1,.0132346
1954,0,-.0132346
1956,1,.0592762
1956,0,-.0592762
1958,1,.0436008
1958,0,-.0436008
1960,0,.1644101
1960,0,-.1644101
1962,1,.3094326
1962,0,-.3094326
1964,0,.2596003
1964,0,-.2596003
1966,1,.0219831
1966,0,-.0219831
1968,1,.3473771
1968,0,-.3473771
1970,1,.1407934
1970,0,-.1407934
1974,1,.2830554
1974,0,-.2830554
1978,1,.2228957
1978,0,-.2228957
1980,0,.212328
1980,0,-.212328
1982,1,.3743397
1982,0,-.3743397
1984,1,.1141597
1984,0,-.1141597
1986,1,.3862925
1986,0,-.3862925
1986,0,-.5671233
1988,1,.3334521
1988,0,-.3334521
1990,1,.0681647
1990,0,-.0681647
1992,1,.3640812
1992,0,-.3640812
1992,0,-.4816026
1992,0,-.588287
1992,0,-.6040562
1994,0,.375203
1994,0,-.375203
1996,1,.1261104
1996,0,-.1261104
1996,0,-.5075988
1946,1,.4481776
1946,0,-.4481776
1946,0,-.7079242
1950,0,.6511075
1950,0,-.6511075
1950,0,-.817363
1952,1,.3900713
1952,0,-.3900713
1952,0,-.6885259
1954,1,.5646443
1954,0,-.5646443
1956,1,.5062209
1956,0,-.5062209
1958,1,.6078898
1958,0,-.6078898
1962,1,.2864037
1962,0,-.2864037
1966,1,.4956388
1966,0,-.4956388
1976,0,.3797801
1976,0,-.3797801
1978,1,.8346604
1978,0,-.8346604
1988,1,.6163529
1988,0,-.6163529
1950,1,.7036877
1950,0,-.7036877
1950,0,-.8224004
1950,0,-.8355199
1952,1,.6437467
1952,0,-.6437467
1956,1,.6496946
1956,0,-.6496946
1962,1,.2838896
1962,0,-.2838896
1964,1,.1925205
1964,0,-.1925205
1966,1,.1000811
1966,0,-.1000811
1970,0,.0076351
1970,1,-.0076351
1972,1,.0047716
1972,0,-.0047716
1974,1,.4957373
1974,0,-.4957373
1980,1,.4643451
1980,0,-.4643451
1946,1,.3501956
1946,0,-.3501956
1948,1,.1312444
1948,0,-.1312444
1950,1,.2487337
1950,0,-.2487337
1950,0,-.6173269
1952,1,.2112554
1952,0,-.2112554
1954,1,.1599077
1954,0,-.1599077
1956,0,.1124658
1956,0,-.1124658
1958,1,.0701195
1958,0,-.0701195
1960,1,.1706885
1960,0,-.1706885
1946,1,.2715498
1946,0,-.2715498
1948,1,.227456
1948,0,-.227456
1950,1,.2905151
1950,0,-.2905151
1950,0,-.6387739
1952,1,.26652
1952,0,-.26652
1952,0,-.6284095
1954,1,.24017
1954,0,-.24017
1956,1,.2476834
1956,0,-.2476834
1958,1,.2208299
1958,0,-.2208299
1960,1,.2062254
1960,0,-.2062254
1946,1,.1949903
1946,0,-.1949903
1948,1,.1159028
1948,0,-.1159028
1948,0,-.5489966
1950,1,.150388
1950,0,-.150388
1952,1,.2033179
1952,0,-.2033179
1954,1,.004348
1954,0,-.004348
1956,1,.1480352
1956,0,-.1480352
1958,1,.174069
1958,0,-.174069
1958,0,-.5794039
1960,0,.1309141
1960,0,-.1309141
1962,0,.0626492
1962,1,-.0626492
1964,0,.0269937
1964,1,-.0269937
1966,1,.1246269
1966,0,-.1246269
1968,1,.267399
1968,0,-.267399
1970,1,.3483167
1970,0,-.3483167
1972,0,.458243
1972,0,-.458243
1974,0,.0426615
1974,0,-.0426615
1976,1,.3769306
1976,0,-.3769306
1976,0,-.6656168
1976,0,-.679225
1978,1,.2511632
1978,0,-.2511632
1978,0,-.5986609
1980,1,.2158754
1980,0,-.2158754
1982,0,.1036973
1982,1,-.1036973
1982,0,-.5436745
1984,1,.1782903
1984,0,-.1782903
1984,0,-.5761223
1984,0,-.5807633
1986,0,.1270812
1986,0,-.1270812
1988,0,.2062767
1988,0,-.2062767
1990,0,.104883
1990,0,-.104883
1992,1,.1070005
1992,0,-.1070005
1992,0,-.5096312
1992,0,-.5178289
1992,0,-.523852
1994,0,.3689302
1994,0,-.3689302
1994,0,-.6278768
1994,0,-.6323078
1994,0,-.6524333
1996,1,.0342399
1996,0,-.0342399
1996,0,-.4675838
1946,1,.2971623
1946,0,-.2971623
1948,1,.15651
1948,0,-.15651
1948,0,-.5664415
1950,1,.2891878
1950,0,-.2891878
1952,0,.3295415
1952,0,-.3295415
1954,1,.2084098
1954,0,-.2084098
1956,1,.3194398
1956,0,-.3194398
1958,1,.1710547
1958,0,-.1710547
1958,0,-.5801708
1960,0,.2061065
1960,0,-.2061065
1962,1,.1495839
1962,0,-.1495839
1964,1,.0023828
1964,0,-.0023828
1966,1,.3362584
1966,0,-.3362584
1966,0,-.6661623
1968,1,.4228549
1968,0,-.4228549
1970,1,.392568
1970,0,-.392568
1972,1,.3522997
1972,0,-.3522997
1974,1,.2846156
1974,0,-.2846156
1976,1,.2106681
1976,0,-.2106681
1978,0,.3625726
1978,0,-.3625726
1980,1,.2827787
1980,0,-.2827787
1982,1,.4168487
1982,0,-.4168487
1984,0,.5444911
1984,0,-.5444911
1984,0,-.762437
1986,0,.4844356
1986,0,-.4844356
1988,0,.142574
1988,0,-.142574
1988,0,-.5609443
1990,1,.0537754
1990,0,-.0537754
1992,0,.2595261
1992,0,-.2595261
1992,0,-.5933286
1992,0,-.6141841
1994,1,.0549473
1994,0,-.0549473
1994,0,-.4959678
1994,0,-.5068793
1996,1,.0704308
1996,0,-.0704308
1996,0,-.4612513
1996,0,-.4901381
1946,1,.140519
1946,0,-.140519
1946,0,-.5600775
1948,1,.2403592
1948,0,-.2403592
1950,1,.2630243
1950,0,-.2630243
1952,1,.0983759
1952,0,-.0983759
1954,1,.1825566
1954,0,-.1825566
1956,1,.1154134
1956,0,-.1154134
1958,0,.2570481
1958,0,-.2570481
1960,1,.3246202
1960,0,-.3246202
1962,1,.1352963
1962,0,-.1352963
1964,1,.3250819
1964,0,-.3250819
1966,0,.1356955
1966,0,-.1356955
1966,0,-.5621129
1968,1,.2191368
1968,0,-.2191368
1968,0,-.5933539
1968,0,-.6024458
1970,1,.2353643
1970,0,-.2353643
1970,0,-.5930269
1972,0,.2852579
1972,0,-.2852579
1974,1,.4584441
1974,0,-.4584441
1976,0,.2598582
1976,0,-.2598582
1976,0,-.6118972
1978,0,.2248447
1978,0,-.2248447
1980,1,.3522508
1980,0,-.3522508
1982,1,.2248222
1982,0,-.2248222
1982,0,-.5971985
1984,1,.370892
1984,0,-.370892
1986,0,.1542307
1986,0,-.1542307
1988,1,.1126567
1988,0,-.1126567
1990,1,.1032043
1990,0,-.1032043
1992,0,.4528335
1992,0,-.4528335
1992,0,-.6696413
1992,0,-.6799921
1994,1,.0829591
1994,0,-.0829591
1996,1,.4137495
1996,0,-.4137495
1996,0,-.6843039
1996,0,-.6861793
1996,0,-.6867949
1946,1,.0520886
1946,0,-.0520886
1948,1,.1931162
1948,0,-.1931162
1950,1,.2156002
1950,0,-.2156002
1952,1,.0684986
1952,0,-.0684986
1954,1,.2101772
1954,0,-.2101772
1956,1,.044184
1956,0,-.044184
1958,1,.2669956
1958,0,-.2669956
1958,0,-.6319787
1960,1,.4074924
1960,0,-.4074924
1962,1,.4359796
1962,0,-.4359796
1964,1,.6269984
1964,0,-.6269984
1966,0,.2932453
1966,0,-.2932453
1968,1,.2248477
1968,0,-.2248477
1970,1,.3253894
1970,0,-.3253894
1970,0,-.6584728
1972,0,.2627469
1972,0,-.2627469
1974,1,.5645037
1974,0,-.5645037
1976,1,.5399134
1976,0,-.5399134
1976,0,-.7549428
1978,0,.0522026
1978,1,-.0522026
1980,1,.1061737
1980,0,-.1061737
1982,1,.1127587
1982,0,-.1127587
1984,1,.3548429
1984,0,-.3548429
1986,1,.4362764
1986,0,-.4362764
1988,0,.442465
1988,0,-.442465
1990,1,.1842782
1990,0,-.1842782
1992,1,.4620645
1992,0,-.4620645
1992,0,-.6738074
1992,0,-.6907584
1994,0,.3597073
1994,0,-.3597073
1996,1,.3275263
1996,0,-.3275263
1996,0,-.6276544
1996,0,-.6327543
1996,0,-.6354887
1986,0,.853124
1986,0,-.853124
1986,0,-.8549469
1986,0,-.8613585
1988,0,.0371405
1988,1,-.0371405
1988,0,-.2234305
1988,0,-.3994048
1988,0,-.4062986
1988,0,-.4079033
1990,1,.1656798
1990,0,-.1656798
1990,0,-.5327537
1990,0,-.553593
