Dvote,year,state,evotes,constant,n1,n2,n3,n4,s1,s2,s3,s4,s5,s6,s7,s8,s9,r1,r2,r3,r4,r5,r6
0.403060621,1992,12,4,1,0.575,-0.37,-0.37,-0.345,-0.094,-0.141,0,0,-0.166667,-3.10858452,-0.3122,-0.17,0,0,0,0,0,0,0
0.580694048,1992,13,22,1,0.575,-0.37,-0.37,-0.345,0.028,0.027,0,0,0.1101695,0.29141548,0.0039,0.1474947,0,0,0,0,0,0,0
0.460747275,1992,14,12,1,0.575,-0.37,-0.37,-0.345,-0.042,-0.029,0,-1,0.02,-0.70858452,-0.008,-0.128398981,0,0,0,0,0,0,0
0.537079502,1992,15,7,1,0.575,-0.37,-0.37,-0.345,0.09,0.055,0,0,0.11,-0.50858452,0.0031,0.17,0,0,0,0,0,0,0
0.465260497,1992,16,6,1,0.575,-0.37,-0.37,-0.345,-0.029,-0.078,0,0,0.004,-1.40858452,-0.5155,-0.106460357,0,0,0,0,0,0,0
0.518633034,1992,17,8,1,0.575,-0.37,-0.37,-0.345,-0.019,-0.012,0,0,0.18,-2.00858452,-0.0821,-0.009231122,0,0,0,0,0,0,0
0.527642321,1992,18,9,1,0.575,-0.37,-0.37,-0.345,-0.013,-0.022,0,0,0.3285714,-1.10858452,-0.3767,-0.00597994,0,1,0,0,0,0,0
0.558357375,1992,19,4,1,0.575,-0.37,-0.37,-0.345,-0.018,-0.019,0,0,0.1423841,1.29141548,0.4677,-0.015436929,0,0,0,0,0,0,0
0.583779131,1992,20,10,1,0.575,-0.37,-0.37,-0.345,0.024,0.064,0,0,0.3297872,1.59141548,0.2438,0.17,0,0,0,0,0,0,0
0.620422259,1992,21,12,1,0.575,-0.37,-0.37,-0.345,0.029,0.078,0,0,0.2672956,1.59141548,0.534,0.17,0,0,0,0,0,0,0
0.539352698,1992,22,18,1,0.575,-0.37,-0.37,-0.345,0,-0.003,0,0,0.05454545,-1.00858452,0.1034,0.04386715,0,0,0,0,0,0,0
0.575136174,1992,23,10,1,0.575,-0.37,-0.37,-0.345,0.074,0.027,0,0,0.08955224,-0.70858452,0.2634,0.17,0,0,0,0,0,0,0
0.449312302,1992,24,7,1,0.575,-0.37,-0.37,-0.345,-0.066,-0.031,0,0,0.3442623,-1.60858452,-0.761,-0.140383195,0,1,0,0,0,0,0
0.564906225,1992,25,11,1,0.575,-0.37,-0.37,-0.345,0.019,-0.008,0,0,0.101227,-0.20858452,0.0945,0.084465638,0,0,0,0,0,0,0
0.517131999,1992,26,3,1,0.575,-0.37,-0.37,-0.345,0.009,-0.021,0,0,0.11,-2.10858452,0.3816,0.046731717,0,0,0,0,0,0,0
0.38697548,1992,27,5,1,0.575,-0.37,-0.37,-0.345,-0.066,-0.118,0,0,-0.22,-0.60858452,-0.7822,-0.17,0,0,0,0,0,0,0
0.519652222,1992,28,4,1,0.575,-0.37,-0.37,-0.345,-0.069,-0.081,0,0,0.02380952,-0.60858452,-0.2915,-0.17,0,0,0,0,0,0,0
0.509389585,1992,29,4,1,0.575,-0.37,-0.37,-0.345,-0.094,-0.097,0,0,0.1792929,1.59141548,-0.1827,-0.17,0,0,0,0,0,0,0
0.510627414,1992,30,15,1,0.575,-0.37,-0.37,-0.345,-0.03,-0.013,0,0,0.0443038,1.49141548,0.4239,-0.035794622,0,0,0,0,0,0,0
0.549912798,1992,31,5,1,0.575,-0.37,-0.37,-0.345,0.014,-0.011,0,0,0.1428571,-0.90858452,-0.1434,0.06877636,0,0,0,0,0,0,0
0.591608161,1992,32,33,1,0.575,-0.37,-0.37,-0.345,0.06,0.0395,0,0,0.1133333,0.79141548,0.298,0.17,0,0,0,0,0,0,0
0.495757131,1992,33,14,1,0.575,-0.37,-0.37,-0.345,-0.043,-0.028,0,0,0.1166667,-1.20858452,-0.5367,-0.082051061,0,1,0,0,0,0,0
0.421998507,1992,34,3,1,0.575,-0.37,-0.37,-0.345,-0.027,-0.065,0,0,-0.0471698,-1.30858452,-0.1912,-0.088446444,0,0,0,0,0,0,0
0.511552201,1992,35,21,1,0.575,-0.37,-0.37,-0.345,-0.016,-0.003,0,0,0.1161616,0.49141548,-0.2095,0.009914936,0,0,0,0,0,0,0
0.443778817,1992,36,8,1,0.575,-0.37,-0.37,-0.345,-0.045,-0.099,0,0,0.1831683,-0.70858452,-0.2404,-0.169154844,0,0,0,0,0,0,0
0.571109291,1992,37,7,1,0.575,-0.37,-0.37,-0.345,0.063,0.031,0,0,0.03333333,-1.60858452,0.3048,0.17,0,0,0,0,0,0,0
0.555791011,1992,38,23,1,0.575,-0.37,-0.37,-0.345,0.027,0.055,0,0,0.0270936,0.79141548,0.1071,0.17,0,0,0,0,0,0,0
0.620009974,1992,39,4,1,0.575,-0.37,-0.37,-0.345,0.098,0.074,0,0,0.39,3.19141548,0.693,0.17,0,0,0,0,0,0,0
0.453991353,1992,40,8,1,0.575,-0.37,-0.37,-0.345,-0.082,-0.049,0,0,0.137931,1.29141548,-0.5476,-0.17,0,1,0,0,0,0,0
0.477421501,1992,41,3,1,0.575,-0.37,-0.37,-0.345,0.007,-0.041,0,0,-0.142857,-2.00858452,-0.0197,0.01885984,0,0,0,0,0,0,0
0.526098965,1992,42,11,1,0.575,-0.37,-0.37,-0.345,-0.043,0.01,0,1,0.07575758,-1.00858452,-0.2737,-0.039106178,0,1,0,0,0,0,0
0.480898717,1992,43,32,1,0.575,-0.37,-0.37,-0.345,0.005,-0.021,-1,0,0.12,-2.10858452,-0.2663,-0.060174479,0,1,0,0,0,0,0
0.363223542,1992,44,5,1,0.575,-0.37,-0.37,-0.345,-0.135,-0.159,0,0,-0.0866667,-1.80858452,-0.2153,-0.17,0,0,0,0,0,0,0
0.59533398,1992,45,3,1,0.575,-0.37,-0.37,-0.345,0.021,0.005,0,0,-0.0067568,0.79141548,0.1404,0.105162079,0,0,0,0,0,0,0
0.474233584,1992,46,13,1,0.575,-0.37,-0.37,-0.345,-0.065,-0.035,0,0,0.1020408,1.49141548,-0.6992,-0.140769378,0,1,0,0,0,0,0
0.5838545,1992,47,11,1,0.575,-0.37,-0.37,-0.345,0.047,0.026,0,0,0.1428571,-1.10858452,0.3543,0.17,0,0,0,0,0,0,0
0.577585643,1992,48,5,1,0.575,-0.37,-0.37,-0.345,0.063,0.039,0,0,0.24,0.39141548,0.2172,0.17,0,0,0,0,0,0,0
0.527952979,1992,49,11,1,0.575,-0.37,-0.37,-0.345,0.057,0.045,0,0,0.07575758,-1.00858452,0.1926,0.17,0,0,0,0,0,0,0
0.460334688,1992,50,3,1,0.575,-0.37,-0.37,-0.345,-0.075,-0.122,0,0,-0.15625,-0.40858452,-0.2202,-0.17,0,0,0,0,0,0,0
0.403,1988,1,9,1,0.4556,-0.48,0,-0.76,-0.021,-0.027,0,0,0.347619048,-0.314567419,-0.5169,0.065182405,0,0,0,0,0,0,0
0.377,1988,2,3,1,0.4556,-0.48,0,-0.76,-0.099,-0.12,0,0,0.1,5.485432581,0.2181,-0.288814539,0,0,0,0,0,0,0
0.393,1988,3,7,1,0.4556,-0.48,0,-0.76,-0.079,-0.129,0,0,-0.1,-1.014567419,-0.3627,-0.253641362,0,0,0,0,0,0,0
0.428,1988,4,6,1,0.4556,-0.48,0,-0.76,-0.02,-0.023,0,0,0.41,2.785432581,-0.2121,0.069746095,0,0,0,0,0,0,0
0.482,1988,5,47,1,0.4556,-0.48,0,-0.76,0.043,-0.009,0,0,0.05,-0.314567419,0.1496,0.043125838,0,0,0,0,0,0,0
0.46,1988,6,8,1,0.4556,-0.48,0,-0.76,-0.052,-0.086,0,0,-0.115384615,3.885432581,-0.0206,-0.145322208,0,0,0,0,0,0,0
0.474,1988,7,8,1,0.4556,-0.48,0,-0.76,-0.018,-0.003,0,0,0.109271523,-1.814567419,0.4493,0.020126586,0,0,0,0,0,0,0
0.438,1988,8,3,1,0.4556,-0.48,0,-0.76,-0.008,0.04,0,0,-0.036585366,-0.914567419,-0.186,0.08921211,0,0,0,0,0,0,0
0.387,1988,9,21,1,0.4556,-0.48,0,-0.76,-0.061,-0.11,0,0,0.125,-2.514567419,-0.3438,-0.116462192,0,0,0,0,0,0,0
0.398,1988,10,12,1,0.4556,-0.48,0,-0.76,-0.01,-0.01,0,0,0.35,-1.114567419,-0.4633,0.177094405,0,0,0,0,0,0,0
0.548,1988,11,4,1,0.4556,-0.48,0,-0.76,0.035,0.064,0,0,0.3,-1.014567419,0.5367,0.211903229,0,0,0,0,0,0,0
0.367,1988,12,4,1,0.4556,-0.48,0,-0.76,-0.141,-0.172,0,0,-0.261904762,0.085432581,-0.3122,-0.305,0,0,0,0,0,0,0
0.489,1988,13,24,1,0.4556,-0.48,0,-0.76,0.027,0.009,0,0,0.06779661,0.085432581,0.0039,0.137307524,0,0,0,0,0,0,0
0.399,1988,14,12,1,0.4556,-0.48,0,-0.76,-0.029,-0.045,0,-1,-0.02,-0.514567419,-0.008,-0.049095655,0,0,0,0,0,0,0
0.551,1988,15,8,1,0.4556,-0.48,0,-0.76,0.055,-0.018,0,0,0.08,1.785432581,0.0031,0.172199291,0,0,0,0,0,0,0
0.432,1988,16,7,1,0.4556,-0.48,0,-0.76,-0.078,-0.081,0,0,-0.092,0.485432581,-0.5155,-0.201988203,0,0,0,0,0,0,0
0.442,1988,17,9,1,0.4556,-0.48,0,-0.76,-0.012,0.046,0,0,0.21,-1.114567419,-0.0821,0.08512271,0,0,0,0,0,0,0
0.448,1988,18,10,1,0.4556,-0.48,0,-0.76,-0.022,-0.048,0,0,0.352941176,1.985432581,-0.3767,0.03921828,0,0,0,0,0,0,0
0.443,1988,19,4,1,0.4556,-0.48,0,-0.76,-0.019,0.034,0,0,0.069536424,-2.814567419,0.4677,0.056741221,0,0,0,0,0,0,0
0.485,1988,20,10,1,0.4556,-0.48,0,-0.76,0.064,0.069,0,0,0.379432624,-0.814567419,0.2438,0.285484999,0,0,0,0,0,0,0
0.54,1988,21,13,1,0.4556,-0.48,0,-0.76,0.078,0.052,1,0,0.29375,-1.614567419,0.534,0.29892509,0,0,0,0,0,0,0
0.461,1988,22,20,1,0.4556,-0.48,0,-0.76,-0.003,0.017,0,0,0.081818182,1.485432581,0.1034,0.074719594,0,0,0,0,0,0,0
0.535,1988,23,10,1,0.4556,-0.48,0,-0.76,0.027,0.05,0,0,0.119402985,1.285432581,0.2634,0.305,0,0,0,0,0,0,0
0.395,1988,24,7,1,0.4556,-0.48,0,-0.76,-0.031,-0.027,0,0,0.426229508,1.885432581,-0.761,0.040898285,0,0,0,0,0,0,0
0.48,1988,25,11,1,0.4556,-0.48,0,-0.76,-0.008,0.017,0,0,0.180981595,1.385432581,0.0945,0.063482293,0,0,0,0,0,0,0
0.47,1988,26,4,1,0.4556,-0.48,0,-0.76,-0.021,-0.084,0,0,-0.01,0.985432581,0.3816,-0.071819764,0,0,0,0,0,0,0
0.395,1988,27,5,1,0.4556,-0.48,0,-0.76,-0.118,-0.163,0,0,-0.22,3.285432581,-0.7822,-0.305,0,0,0,0,0,0,0
0.392,1988,28,4,1,0.4556,-0.48,0,-0.76,-0.081,-0.146,0,0,0.19047619,-2.614567419,-0.2915,-0.276207538,0,0,0,0,0,0,0
0.367,1988,29,4,1,0.4556,-0.48,0,-0.76,-0.097,-0.117,0,0,-0.17,-4.014567419,-0.1827,-0.283586151,0,0,0,0,0,0,0
0.431,1988,30,16,1,0.4556,-0.48,0,-0.76,-0.013,-0.021,0,0,-0.0125,-0.914567419,0.4239,0.01174113,0,0,0,0,0,0,0
0.475,1988,31,5,1,0.4556,-0.48,0,-0.76,-0.011,-0.046,0,0,0.171428571,0.485432581,-0.1434,-0.010486411,0,0,0,0,0,0,0
0.521,1988,32,36,1,0.4556,-0.48,0,-0.76,0.027,0.038,0,0,0.121621622,-0.514567419,0.298,0.224020056,0,0,0,0,0,0,0
0.418,1988,33,13,1,0.4556,-0.48,0,-0.76,-0.028,-0.031,0,0,0.2,-1.114567419,-0.5367,0.043108058,0,0,0,0,0,0,0
0.434,1988,34,3,1,0.4556,-0.48,0,-0.76,-0.065,-0.156,0,0,-0.075471698,1.685432581,-0.1912,-0.250768295,0,0,0,0,0,0,0
0.445,1988,35,23,1,0.4556,-0.48,0,-0.76,-0.003,-0.004,0,0,0.106060606,0.285432581,-0.2095,0.053522796,0,0,0,0,0,0,0
0.416,1988,36,8,1,0.4556,-0.48,0,-0.76,-0.099,-0.081,0,0,0.193069307,1.885432581,-0.2404,-0.248902414,0,0,0,0,0,0,0
0.524,1988,37,7,1,0.4556,-0.48,0,-0.76,0.031,-0.002,0,0,0.016666667,-0.914567419,0.3048,0.133098778,0,0,0,0,0,0,0
0.488,1988,38,25,1,0.4556,-0.48,0,-0.76,0.055,0.014,0,0,0.007389163,-0.414567419,0.1071,0.206284379,0,0,0,0,0,0,0
0.559,1988,39,4,1,0.4556,-0.48,0,-0.76,0.074,0.115,0,0,0.3,-0.914567419,0.693,0.305,0,0,0,0,0,0,0
0.379,1988,40,8,1,0.4556,-0.48,0,-0.76,-0.049,-0.026,0,0,0.241935484,-1.414567419,-0.5476,-0.000490752,0,0,0,0,0,0,0
0.468,1988,41,3,1,0.4556,-0.48,0,-0.76,-0.041,-0.103,0,0,-0.185714286,-0.014567419,-0.0197,-0.138547001,0,0,0,0,0,0,0
0.418,1988,42,11,1,0.4556,-0.48,0,-0.76,0.01,-0.022,0,0,0.116161616,-1.014567419,-0.2737,0.14179616,0,0,0,0,0,0,0
0.436,1988,43,29,1,0.4556,-0.48,0,-0.76,-0.021,-0.067,-1,1,0.126666667,3.085432581,-0.2663,-0.061052192,0,0,0,0,0,0,0
0.326,1988,44,5,1,0.4556,-0.48,0,-0.76,-0.159,-0.227,0,0,-0.14,1.785432581,-0.2153,-0.305,0,0,0,0,0,0,0
0.482,1988,45,3,1,0.4556,-0.48,0,-0.76,0.005,0.017,0,0,-0.003355705,-2.114567419,0.1404,0.094605844,0,0,0,0,0,0,0
0.396,1988,46,12,1,0.4556,-0.48,0,-0.76,-0.035,-0.088,0,0,0.146464646,-1.614567419,-0.6992,-0.031744693,0,0,0,0,0,0,0
0.508,1988,47,10,1,0.4556,-0.48,0,-0.76,0.026,-0.018,0,0,0.12244898,-0.614567419,0.3543,0.106169115,0,0,0,0,0,0,0
0.524,1988,48,6,1,0.4556,-0.48,0,-0.76,0.039,0.077,0,0,0.28,1.485432581,0.2172,0.235328397,0,0,0,0,0,0,0
0.518,1988,49,11,1,0.4556,-0.48,0,-0.76,0.045,0.027,0,0,0.045454545,-0.114567419,0.1926,0.19835236,0,0,0,0,0,0,0
0.386,1988,50,3,1,0.4556,-0.48,0,-0.76,-0.122,-0.138,0,0,-0.1875,3.385432581,-0.2202,-0.305,0,0,0,0,0,0,0
0.387,1984,1,9,1,0.3978,-0.54,-0.54,-1.82,-0.027,-0.017,0,0,0.423809524,-0.685403134,-0.5169,0.250480968,0,0,0,0,0,0,0
0.309,1984,2,3,1,0.3978,-0.54,-0.54,-1.82,-0.12,-0.13,0,0,-0.025,5.514596866,0.2181,-0.2875,0,0,0,0,0,0,0
0.329,1984,3,7,1,0.3978,-0.54,-0.54,-1.82,-0.129,-0.097,0,0,-0.15,-4.285403134,-0.3627,-0.2875,0,0,0,0,0,0,0
0.388,1984,4,6,1,0.3978,-0.54,-0.54,-1.82,-0.023,0.066,0,0,0.43,-3.685403134,-0.2121,0.2875,0,0,0,0,0,0,0
0.418,1984,5,47,1,0.3978,-0.54,-0.54,-1.82,-0.009,-0.02,-1,0,0.1,0.514596866,0.1496,-0.029767656,0,0,0,0,0,0,0
0.356,1984,6,8,1,0.3978,-0.54,-0.54,-1.82,-0.086,-0.07,0,0,-0.115384615,2.214596866,-0.0206,-0.186733854,0,0,0,0,0,0,0
0.39,1984,7,8,1,0.3978,-0.54,-0.54,-1.82,-0.003,-0.037,0,0,0.07615894,1.914596866,0.4493,0.030866635,0,0,0,0,0,0,0
0.4,1984,8,3,1,0.3978,-0.54,-0.54,-1.82,0.04,0.017,0,0,0.085365854,2.414596866,-0.186,0.188525284,0,0,0,0,0,0,0
0.347,1984,9,21,1,0.3978,-0.54,-0.54,-1.82,-0.11,-0.057,0,0,0.2,-1.485403134,-0.3438,0.024538807,0,0,0,0,0,0,0
0.398,1984,10,12,1,0.3978,-0.54,-0.54,-1.82,-0.01,0.019,0,0,0.366666667,-0.885403134,-0.4633,0.2875,0,0,0,0,0,0,0
0.443,1984,11,4,1,0.3978,-0.54,-0.54,-1.82,0.064,0.002,0,0,0.343137255,4.014596866,0.5367,0.21929404,0,0,0,0,0,0,0
0.267,1984,12,4,1,0.3978,-0.54,-0.54,-1.82,-0.172,-0.128,0,0,-0.228571429,-3.785403134,-0.3122,-0.2875,0,0,0,0,0,0,0
0.435,1984,13,24,1,0.3978,-0.54,-0.54,-1.82,0.009,-0.021,0,0,0.093220339,0.714596866,0.0039,0.076710309,0,0,0,0,0,0,0
0.379,1984,14,12,1,0.3978,-0.54,-0.54,-1.82,-0.045,-0.05,0,0,-0.07,-2.885403134,-0.008,-0.073672527,0,0,0,0,0,0,0
0.463,1984,15,8,1,0.3978,-0.54,-0.54,-1.82,-0.018,-0.016,0,0,0.1,-8.985403134,0.0031,0.025780048,0,0,0,0,0,0,0
0.33,1984,16,7,1,0.3978,-0.54,-0.54,-1.82,-0.081,-0.025,0,0,-0.076,-2.985403134,-0.5155,-0.151106132,0,0,0,0,0,0,0
0.396,1984,17,9,1,0.3978,-0.54,-0.54,-1.82,0.046,0.026,0,0,0.26,0.814596866,-0.0821,0.210771188,0,0,0,0,0,0,0
0.386,1984,18,10,1,0.3978,-0.54,-0.54,-1.82,-0.048,-0.054,0,0,0.394230769,3.614596866,-0.3767,0.158861043,0,0,0,0,0,0,0
0.389,1984,19,4,1,0.3978,-0.54,-0.54,-1.82,0.034,-0.015,0,0,0.109271523,1.814596866,0.4677,0.13487641,0,0,0,0,0,0,0
0.472,1984,20,10,1,0.3978,-0.54,-0.54,-1.82,0.069,0.019,0,0,0.379432624,-0.085403134,0.2438,0.252674562,0,0,0,0,0,0,0
0.486,1984,21,13,1,0.3978,-0.54,-0.54,-1.82,0.052,0.07,0,0,0.316455696,0.814596866,0.534,0.281066259,0,0,0,0,0,0,0
0.405,1984,22,20,1,0.3978,-0.54,-0.54,-1.82,0.017,0.028,0,0,0.072727273,0.314596866,0.1034,0.071321754,0,0,0,0,0,0,0
0.501,1984,23,10,1,0.3978,-0.54,-0.54,-1.82,0.05,0.03,1,0,0.074626866,-0.985403134,0.2634,0.2875,0,0,0,0,0,0,0
0.377,1984,24,7,1,0.3978,-0.54,-0.54,-1.82,-0.027,-0.074,0,0,0.458677686,-0.485403134,-0.761,0.178357176,0,0,0,0,0,0,0
0.4,1984,25,11,1,0.3978,-0.54,-0.54,-1.82,0.017,0.007,0,0,0.174846626,-0.585403134,0.0945,0.128912312,0,0,0,0,0,0,0
0.387,1984,26,4,1,0.3978,-0.54,-0.54,-1.82,-0.084,-0.049,0,0,0.05,-6.985403134,0.3816,-0.153930231,0,0,0,0,0,0,0
0.29,1984,27,5,1,0.3978,-0.54,-0.54,-1.82,-0.163,-0.117,0,0,-0.22,-11.78540313,-0.7822,-0.2875,0,0,0,0,0,0,0
0.327,1984,28,4,1,0.3978,-0.54,-0.54,-1.82,-0.146,-0.034,0,0,0.047619048,0.814596866,-0.2915,-0.266027567,0,0,0,0,0,0,0
0.311,1984,29,4,1,0.3978,-0.54,-0.54,-1.82,-0.117,-0.068,0,0,-0.1,-1.285403134,-0.1827,-0.24998857,0,0,0,0,0,0,0
0.395,1984,30,16,1,0.3978,-0.54,-0.54,-1.82,-0.021,-0.022,0,0,0.05,1.414596866,0.4239,0.011136013,0,0,0,0,0,0,0
0.397,1984,31,5,1,0.3978,-0.54,-0.54,-1.82,-0.046,-0.023,0,0,0.157142857,-0.085403134,-0.1434,-0.043068439,0,0,0,0,0,0,0
0.46,1984,32,36,1,0.3978,-0.54,-0.54,-1.82,0.038,0.011,0,1,0.151006711,1.614596866,0.298,0.177640975,0,0,0,0,0,0,0
0.38,1984,33,13,1,0.3978,-0.54,-0.54,-1.82,-0.031,-0.028,0,0,0.35,-0.485403134,-0.5367,0.227527511,0,0,0,0,0,0,0
0.343,1984,34,3,1,0.3978,-0.54,-0.54,-1.82,-0.156,-0.041,0,0,0.018867925,-22.28540313,-0.1912,-0.2875,0,0,0,0,0,0,0
0.405,1984,35,23,1,0.3978,-0.54,-0.54,-1.82,-0.004,-0.01,0,0,0.126262626,-0.485403134,-0.2095,0.061886794,0,0,0,0,0,0,0
0.309,1984,36,8,1,0.3978,-0.54,-0.54,-1.82,-0.081,-0.017,0,0,0.252475248,1.414596866,-0.2404,-0.107710924,0,0,0,0,0,0,0
0.439,1984,37,7,1,0.3978,-0.54,-0.54,-1.82,-0.002,-0.012,0,0,0.1,0.514596866,0.3048,0.062866077,0,0,0,0,0,0,0
0.463,1984,38,25,1,0.3978,-0.54,-0.54,-1.82,0.014,0.003,0,0,0.007389163,2.014596866,0.1071,0.116573233,0,0,0,0,0,0,0
0.482,1984,39,4,1,0.3978,-0.54,-0.54,-1.82,0.115,0.046,0,0,0.35,-0.085403134,0.693,0.2875,0,0,0,0,0,0,0
0.359,1984,40,8,1,0.3978,-0.54,-0.54,-1.82,-0.026,-0.018,0,0,0.337398374,0.414596866,-0.5476,0.249620031,0,0,0,0,0,0,0
0.367,1984,41,3,1,0.3978,-0.54,-0.54,-1.82,-0.103,-0.018,0,0,-0.271428571,-7.485403134,-0.0197,-0.156725162,0,0,0,0,0,0,0
0.418,1984,42,11,1,0.3978,-0.54,-0.54,-1.82,-0.022,-0.018,0,0,0.118556701,0.114596866,-0.2737,0.260328876,0,0,0,0,0,0,0
0.362,1984,43,29,1,0.3978,-0.54,-0.54,-1.82,-0.067,-0.068,0,-1,0.26,-0.185403134,-0.2663,0.050337034,0,0,0,0,0,0,0
0.249,1984,44,5,1,0.3978,-0.54,-0.54,-1.82,-0.227,-0.161,0,0,-0.273333333,-0.685403134,-0.2153,-0.2875,0,0,0,0,0,0,0
0.413,1984,45,3,1,0.3978,-0.54,-0.54,-1.82,0.017,-0.071,0,0,-0.060810811,1.414596866,0.1404,0.032125386,0,0,0,0,0,0,0
0.373,1984,46,12,1,0.3978,-0.54,-0.54,-1.82,-0.088,-0.091,0,0,0.156565657,0.014596866,-0.6992,0.028809845,0,0,0,0,0,0,0
0.434,1984,47,10,1,0.3978,-0.54,-0.54,-1.82,-0.018,-0.031,0,0,0.051020408,1.614596866,0.3543,0.006084058,0,0,0,0,0,0,0
0.447,1984,48,6,1,0.3978,-0.54,-0.54,-1.82,0.077,0.07,0,0,0.37,3.714596866,0.2172,0.2875,0,0,0,0,0,0,0
0.453,1984,49,11,1,0.3978,-0.54,-0.54,-1.82,0.027,-0.002,0,0,0.095959596,1.514596866,0.1926,0.136954714,0,0,0,0,0,0,0
0.286,1984,50,3,1,0.3978,-0.54,-0.54,-1.82,-0.138,-0.109,0,0,-0.103174603,1.014596866,-0.2202,-0.2875,0,0,0,0,0,0,0
0.493,1980,1,9,1,0.4872,0.38,0.38,-2.35,-0.017,-0.122,0,0,0.461904762,-1.016460465,-0.5169,0.115542906,0,1,0,0,0,0,0
0.327,1980,2,3,1,0.4872,0.38,0.38,-2.35,-0.13,-0.009,0,0,0.141025641,-1.816460465,0.2181,-0.252796087,0,0,0,0,0,0,-1
0.318,1980,3,6,1,0.4872,0.38,0.38,-2.35,-0.097,-0.052,0,0,-0.2,3.083539535,-0.3627,-0.208570254,0,0,0,0,0,0,-1
0.497,1980,4,6,1,0.4872,0.38,0.38,-2.35,0.066,-0.074,0,0,0.44,-4.016460465,-0.2121,0.2875,0,1,0,0,0,0,0
0.405,1980,5,45,1,0.4872,0.38,0.38,-2.35,-0.02,0.081,-1,0,0.125,0.883539535,0.1496,0.075891037,0,0,0,0,0,0,0
0.361,1980,6,7,1,0.4872,0.38,0.38,-2.35,-0.07,-0.026,0,0,-0.084615385,3.083539535,-0.0206,-0.117743042,0,0,0,0,0,0,-1
0.444,1980,7,8,1,0.4872,0.38,0.38,-2.35,-0.037,0.024,0,0,0.182119205,0.683539535,0.4493,0.011825828,0,0,0,0,0,0,0
0.487,1980,8,3,1,0.4872,0.38,0.38,-2.35,0.017,0.015,0,0,0.012195122,-0.116460465,-0.186,0.138400453,0,0,0,0,0,0,0
0.41,1980,9,17,1,0.4872,0.38,0.38,-2.35,-0.057,-0.103,0,0,0.241666667,3.283539535,-0.3438,0.030970464,0,1,0,0,0,0,0
0.576,1980,10,12,1,0.4872,0.38,0.38,-2.35,0.019,-0.135,1,0,0.383333333,0.283539535,-0.4633,0.2875,0,1,0,0,0,0,0
0.511,1980,11,4,1,0.4872,0.38,0.38,-2.35,0.002,-0.007,0,0,0.323529412,2.383539535,0.5367,0.082093671,0,0,0,0,0,0,0
0.275,1980,12,4,1,0.4872,0.38,0.38,-2.35,-0.128,-0.094,0,0,-0.214285714,-2.716460465,-0.3122,-0.2875,0,0,0,0,0,0,-1
0.456,1980,13,26,1,0.4872,0.38,0.38,-2.35,-0.021,0.025,0,0,0.002824859,-1.316460465,0.0039,0.052828904,0,0,0,0,0,0,0
0.402,1980,14,13,1,0.4872,0.38,0.38,-2.35,-0.05,-0.047,0,0,-0.04,-1.416460465,-0.008,-0.083523646,0,0,0,0,0,0,0
0.429,1980,15,8,1,0.4872,0.38,0.38,-2.35,-0.016,0.031,0,0,-0.06,-2.516460465,0.0031,0.070248855,0,0,0,0,0,0,0
0.366,1980,16,7,1,0.4872,0.38,0.38,-2.35,-0.025,-0.079,0,0,-0.052,1.883539535,-0.5155,-0.112517286,0,0,0,0,0,0,0
