interviewid,college,student_vote,student_meeting,student_other,student_button,student_money,student_communicate,student_demonstrate,student_community,student_ppnscal,student_PubAff,student_Newspaper,student_Radio,student_TV,student_Magazine,student_FamTalk,student_FrTalk,student_AdultTalk,student_PID,student_SPID,student_GovtOpinion,student_GovtCrook,student_GovtWaste,student_TrGovt,student_GovtSmart,student_Govt4All,student_Cynic,student_LifeWish,student_GLuck,student_FPlans,student_EgoA,student_WinArg,student_StrOpinion,student_MChange,student_EgoB,student_TrOthers,student_OthHelp,student_OthFair,student_Trust,student_Senate,student_Tito,student_Court,student_Govern,student_CCamp,student_FDR,student_Knowledge,student_NextSch,student_GPA,student_SchOfficer,student_SchPublish,student_Hobby,student_SchClub,student_OccClub,student_NeighClub,student_RelClub,student_YouthOrg,student_MiscClub,student_ClubLev,student_Phone,student_Gen,student_Race,parent_Newspaper,parent_Radio,parent_TV,parent_Magazine,parent_LifeWish,parent_GLuck,parent_FPlans,parent_WinArg,parent_StrOpinion,parent_MChange,parent_TrOthers,parent_OthHelp,parent_OthFair,parent_PID,parent_SPID,parent_Vote,parent_Persuade,parent_Rally,parent_OthAct,parent_PolClub,parent_Button,parent_Money,parent_Participate1,parent_Participate2,parent_ActFrq,parent_GovtOpinion,parent_GovtCrook,parent_GovtWaste,parent_TrGovt,parent_GovtSmart,parent_Govt4All,parent_Employ,parent_EducHH,parent_EducW,parent_ChurchOrg,parent_FratOrg,parent_ProOrg,parent_CivicOrg,parent_CLOrg,parent_NeighClub,parent_SportClub,parent_InfClub,parent_FarmGr,parent_WomenClub,parent_MiscClub,parent_ClubLev,parent_FInc,parent_HHInc,parent_OwnHome,parent_Senate,parent_Tito,parent_Court,parent_Govern,parent_CCamp,parent_FDR,parent_Knowledge,parent_Gen,parent_Race,parent_GPHighSchoolPlacebo,parent_HHCollegePlacebo,student_1973Married,student_1973Military,student_1973Drafted,student_1973Unemployed,student_1973NoEmployers,student_1973OwnHome,student_1973NoResidences,student_1973VoteNixon,student_1973VoteMcgovern,student_1973CollegeDegree,student_1973CurrentCollege,student_1973CollegeYears,student_1973HelpMinority,student_1973Busing,student_1973GovChange,student_1973VietnamRight,student_1973VietnamApprove,student_1973Trust,student_1973Luck,student_1973SureAboutLife,student_1973CurrentSituation,student_1973FutureSituation,student_1973ThermMilitary,student_1973ThermRadical,student_1973ThermDems,student_1973ThermRep,student_1973ThermBlack,student_1973ThermWhite,student_1973ThermNixon,student_1973ThermMcgovern,student_1973Newspaper,student_1973PubAffairs,student_1973GovtEfficacy,student_1973GovtNoSay,student_1973PartyID,student_1973IncSelf,student_1973HHInc,student_1973ChurchAttend,student_1973Knowledge,student_1973Ideology,student_1982vote76,student_1982vote80,student_1982meeting,student_1982other,student_1982button,student_1982money,student_1982communicate,student_1982demonstrate,student_1982community,student_1982IncSelf,student_1982HHInc,student_1982College
12,1,1,0,0,0,0,0,0,0,1,1,2,1,1,1,2,2,2,1,3,2,2,3,3,1,3,3,3,3,1,3,1,1,1,4,3,1,3,2,0,0,0,1,0,1,0.3333333432674408,1,2,2,4,1,4,4,3,4,1,0,1,1,0,2,3,4,4,1,1,3,3,1,1,1,3,1,1,1,3,1,1,0,0,0,0,0,0.1666666716337204,0,10,1,3,1,1,1,3,1,1,1,4,1,1,1,1,4,1,1,1,2,0,1,5,5,1,0,0,0,1,0,0,0.1666666716337204,1,2,0,0,1,0,NA,0,NA,0,0,0,1,1,0,4,NA,4,5,NA,0,0,1,1,6,9,50,60,85,50,97,60,40,85,1,1,1,1,2,10,15,1,2,4,1,1,1,1,0,1,0,0,1,8,19,1
13,0,1,0,0,0,0,0,0,0,1,1,3,1,1,1,2,2,2,2,2,1,3,3,1,1,3,1,3,1,1,3,3,3,1,2,3,3,1,2,0,0,0,1,0,1,0.3333333432674408,1,2,2,3,4,3,4,2,3,1,0,1,1,0,2,3,0,2,0,1,3,1,1,3,1,1,3,1,1,3,1,1,0,0,0,1,0,0.3333333432674408,0.20000000298023224,10,1,3,3,2,1,3,1,1,1,4,1,1,1,1,1,1,1,1,2,0,1,7,7,1,0,0,0,1,0,1,0.3333333432674408,1,2,0,0,0,0,NA,0,3,0,0,0,1,NA,NA,NA,NA,6,NA,0,0,0,0,0,2,10,70,85,97,85,85,85,60,70,1,2,1,1,2,4,4,3,2,1,99,99,99,99,99,99,99,99,99,NA,NA,NA
16,1,1,0,0,0,0,0,0,1,2,1,5,1,1,3,1,2,4,2,2,1,2,3,1,1,3,2,3,1,1,3,3,1,1,3,1,1,1,4,0,0,1,1,1,1,0.6666666865348816,1,2,1,1,1,1,4,1,2,1,0,1,1,1,1,4,0,4,1,1,3,3,2,1,1,3,3,1,1,3,1,1,0,0,0,1,0,0.3333333432674408,0.20000000298023224,10,1,1,1,2,1,3,1,4,2,1,1,1,1,1,1,1,1,2,2,0,1,10,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,NA,0,NA,NA,2,0,1,0,NA,NA,6,7,3,0,1,1,1,0,6,8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,5,NA,NA,NA,1,NA,NA,1,1,0,0,0,0,1,0,1,99,99,0
17,1,1,0,1,1,1,1,0,0,5,0,2,1,1,1,2,1,4,3,1,3,1,2,2,3,1,6,3,1,3,2,1,2,1,2,1,3,1,3,0,1,0,1,1,1,0.6666666865348816,1,1,2,1,2,4,1,1,2,1,1,3,1,0,1,3,0,4,1,3,3,2,1,3,3,2,1,1,2,2,1,1,0,0,0,0,0,0.1666666716337204,0,10,1,2,1,2,1,3,0,2,4,1,1,1,1,1,1,1,1,2,1,0,1,8,8,1,1,1,1,1,1,1,1,0,1,0,NA,1,0,NA,0,NA,0,2,0,1,1,1,4,4,4,5,0,0,0,1,1,7,7,40,30,60,50,50,50,30,70,1,3,0,0,2,8,13,NA,7,5,1,1,1,1,0,1,1,0,1,13,19,1
18,0,1,0,1,1,0,0,0,0,3,1,2,5,3,1,2,2,4,2,2,2,2,2,2,3,1,6,3,1,3,2,3,3,3,1,1,1,1,4,0,0,0,1,1,1,0.5,1,3,3,1,1,1,1,2,2,1,0,1,1,1,1,3,4,4,0,3,3,3,3,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,3,0,4,2,2,1,1,1,1,1,4,3,2,3,0,1,7,7,1,0,0,0,1,1,1,0.5,0,1,0,0,1,1,0,0,1,0,0,0,1,NA,NA,NA,NA,7,NA,NA,0,0,1,0,7,7,50,50,70,60,60,60,50,50,1,2,0,0,2,14,14,4,2,1,1,1,0,0,0,0,0,0,0,16,16,0
22,0,1,0,0,1,0,0,0,0,2,1,5,2,1,1,3,2,4,1,3,1,2,1,2,1,3,4,1,1,3,4,3,1,1,3,1,1,1,4,0,0,0,0,1,1,0.3333333432674408,1,2,1,1,4,1,1,1,2,1,1,4,1,0,1,0,0,4,1,3,3,1,3,1,1,3,1,2,2,2,1,1,0,0,0,1,0,0.3333333432674408,0.20000000298023224,10,2,3,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,2,2,0,1,9,7,1,0,1,0,1,1,1,0.6666666865348816,1,1,0,0,1,0,NA,0,2,0,4,0,1,NA,NA,NA,1,7,1,0,0,1,0,0,7,9,85,0,60,40,70,97,60,40,0,2,1,5,2,1,16,4,5,4,1,1,0,0,1,0,0,0,0,2,13,0
23,0,0,0,0,1,1,0,0,0,2,1,1,5,2,1,2,1,2,2,2,1,2,1,1,1,3,2,3,1,1,3,1,1,3,4,1,3,3,2,0,0,0,1,1,0,0.3333333432674408,1,3,3,3,1,1,2,1,1,1,0,1,1,0,1,0,0,3,0,3,1,3,3,1,3,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,3,0,1,2,1,1,1,1,1,1,1,4,2,1,0,1,2,2,0,0,0,0,0,1,1,0.3333333432674408,0,1,0,0,1,0,NA,0,3,0,4,0,0,NA,NA,NA,4,7,6,NA,1,1,1,0,6,10,97,40,70,70,70,97,97,85,1,2,1,5,1,6,14,2,3,NA,1,1,0,0,1,0,0,0,0,9,15,0
24,1,1,0,0,0,0,1,0,1,3,1,1,1,2,1,2,2,3,4,0,1,3,2,1,3,3,1,1,1,1,4,1,1,2,4,1,1,1,4,1,1,0,1,1,1,0.8333333134651184,1,2,2,4,1,1,3,1,3,1,1,4,1,0,1,4,0,2,1,3,3,3,2,3,2,1,3,1,6,2,0,1,0,1,0,1,0,0.5,0.4000000059604645,5,1,2,2,2,1,3,1,3,3,4,1,1,1,1,1,4,1,2,1,0,1,7,7,1,0,0,0,1,1,1,0.5,0,1,NA,0,1,0,NA,0,3,0,4,1,0,1,0,4,3,7,7,1,0,1,1,1,10,10,70,40,50,50,50,50,70,50,1,3,1,5,0,4,12,4,4,5,1,1,0,1,1,0,1,0,1,4,13,1
25,0,0,0,0,1,1,0,0,0,2,1,1,1,1,1,1,2,1,3,1,1,3,2,1,1,3,1,3,1,3,2,3,1,1,3,3,3,1,2,1,0,0,1,0,0,0.3333333432674408,1,3,2,4,1,1,3,3,4,3,1,4,1,0,1,2,4,4,0,3,1,3,1,1,1,3,3,3,4,0,1,1,0,0,0,0,0,0.1666666716337204,0,10,3,2,1,1,3,1,1,1,2,1,1,1,1,1,1,3,1,2,2,0,1,8,7,1,0,0,0,1,1,1,0.5,1,1,0,0,1,0,NA,0,2,0,1,0,0,NA,NA,NA,1,NA,1,0,1,0,1,0,10,10,85,0,85,85,85,85,85,50,1,3,1,5,1,3,14,3,1,1,1,1,0,0,0,0,0,0,0,12,20,0
26,0,0,1,0,1,1,1,0,0,4,1,1,5,1,1,1,2,3,3,1,1,1,2,2,1,3,3,3,1,1,3,3,1,1,3,1,1,1,4,0,0,0,1,1,0,0.3333333432674408,1,3,3,3,1,3,1,3,3,1,0,1,1,1,1,0,3,0,0,2,3,3,1,1,1,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,1,3,0,2,2,1,1,1,1,1,1,1,1,2,1,0,1,4,7,0,0,0,0,1,0,1,0.3333333432674408,0,1,0,0,1,1,0,0,3,0,1,0,0,NA,NA,NA,4,7,4,0,1,0,1,0,7,9,97,0,50,50,40,50,40,40,1,0,1,5,1,9,9,4,3,1,1,1,1,0,0,0,0,0,0,8,13,1
27,0,1,1,1,1,1,1,0,0,6,1,2,1,1,2,3,2,4,6,2,1,1,2,1,1,3,2,1,1,1,4,3,3,1,2,1,1,1,4,0,0,0,1,1,0,0.3333333432674408,1,1,2,4,1,1,4,3,3,1,0,1,1,0,1,4,0,2,1,1,3,1,1,1,1,1,1,1,7,3,1,1,0,1,0,0,0,0.3333333432674408,0.20000000298023224,1,2,2,1,2,1,3,0,1,3,3,2,1,1,1,1,1,1,2,1,0,1,10,10,1,0,0,0,1,1,1,0.5,0,1,NA,0,1,0,NA,0,1,0,4,1,0,NA,NA,NA,NA,NA,4,1,0,1,1,1,9,10,85,15,50,50,50,50,70,40,1,3,1,5,0,15,17,1,4,2,1,1,1,1,1,1,1,0,1,10,19,0
28,0,0,0,0,0,0,0,0,0,0,1,2,5,2,3,2,4,2,1,3,1,3,2,1,1,3,1,3,3,3,1,1,1,1,4,1,1,1,4,1,0,0,1,1,0,0.5,1,2,2,1,1,1,2,2,3,1,0,1,1,0,1,4,3,4,1,3,3,3,3,3,1,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,0,3,3,1,2,1,1,1,1,1,1,1,1,0,1,7,6,1,0,0,0,1,1,1,0.5,0,1,0,0,1,0,NA,0,NA,1,2,0,0,NA,NA,NA,NA,7,NA,1,1,0,1,0,10,10,97,50,50,97,97,97,97,50,1,1,1,5,2,10,15,1,4,1,99,0,0,0,0,0,0,0,0,99,99,0
29,0,1,0,0,0,0,0,0,0,1,1,2,5,1,2,2,2,4,1,3,2,1,3,2,1,3,3,3,3,3,1,3,3,3,1,3,3,1,2,0,0,0,1,0,0,0.1666666716337204,0,3,3,1,1,4,3,1,4,1,0,1,1,0,1,4,0,4,1,3,3,1,1,1,1,1,1,1,2,2,1,1,0,0,0,1,0,0.3333333432674408,0.20000000298023224,1,1,2,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,0,1,6,6,0,0,0,0,1,1,1,0.5,1,1,NA,0,1,0,NA,0,3,0,0,1,0,NA,NA,NA,7,7,NA,NA,0,0,1,1,10,10,60,15,60,85,70,85,97,50,1,2,1,1,0,1,8,4,3,2,1,1,0,0,0,1,0,0,0,1,10,0
30,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,2,4,3,1,3,3,1,1,1,3,1,1,1,1,4,3,1,1,3,1,3,1,3,1,0,1,1,1,1,0.8333333134651184,0,2,1,4,1,1,1,1,4,1,1,4,1,1,1,4,4,4,1,3,3,1,1,1,1,1,1,1,7,3,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,3,0,2,4,3,4,1,1,1,1,1,1,1,3,0,1,8,8,1,0,1,0,1,1,1,0.6666666865348816,0,1,0,0,1,1,1,0,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,4,1,99,99,99,99,99,99,99,99,99,NA,NA,NA
31,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,1,3,2,1,1,3,1,3,1,2,2,2,2,1,2,1,1,1,4,0,0,1,1,1,1,0.6666666865348816,1,2,2,1,1,2,1,1,1,1,0,1,0,1,1,4,1,4,0,3,2,1,1,3,3,3,2,2,1,3,1,0,0,0,0,0,0,0,0,0,3,2,2,3,3,1,0,1,2,1,1,1,1,1,1,1,1,1,2,0,1,3,1,1,0,0,0,1,1,1,0.5,1,1,0,0,1,1,0,0,4,0,7,1,0,0,0,1,4,6,3,1,1,1,1,1,8,9,60,30,50,50,50,50,85,30,1,3,0,0,1,8,8,1,4,5,1,1,0,0,0,0,0,0,0,12,12,0
33,1,1,1,0,0,0,0,1,1,4,1,5,1,1,3,1,2,2,2,2,2,3,2,1,1,3,3,3,1,1,3,3,3,3,1,3,1,1,3,1,0,1,1,1,1,0.8333333134651184,1,3,3,1,1,1,1,1,4,1,0,1,1,1,1,4,2,4,1,3,2,3,1,1,1,3,3,3,7,3,1,1,1,0,0,0,1,0.5,0.4000000059604645,1,2,2,1,3,1,2,1,4,4,2,1,1,1,1,1,1,1,1,1,0,1,9,9,1,1,0,0,1,1,1,0.6666666865348816,0,1,1,0,0,1,1,0,3,1,3,0,1,1,0,4,4,4,1,0,0,1,1,1,5,10,0,15,85,30,50,50,0,70,1,3,1,1,2,4,4,NA,5,5,1,1,0,0,0,0,0,0,0,99,99,0
34,1,1,0,0,0,0,1,0,1,3,1,1,5,1,1,1,1,4,1,3,2,2,2,2,1,3,3,3,1,1,3,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,4,1,1,1,1,0,1,4,4,4,1,3,3,3,1,3,3,1,1,1,1,3,1,1,0,0,0,0,0,0.1666666716337204,0,0,2,2,2,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,0,1,6,6,1,0,0,0,1,1,1,0.5,0,1,NA,0,0,0,NA,0,NA,NA,0,0,1,1,NA,NA,2,NA,3,0,0,1,1,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,0,NA,NA,NA,3,NA,NA,99,99,99,99,99,99,99,99,99,NA,NA,NA
35,1,1,0,0,1,0,0,1,0,3,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,3,2,1,1,1,4,1,1,1,4,1,3,1,3,0,1,0,1,1,1,0.6666666865348816,1,3,1,1,1,1,1,1,2,1,1,4,1,1,1,4,4,2,1,1,3,1,1,3,3,1,3,3,1,3,1,0,1,0,0,1,1,0.5,0.6000000238418579,2,1,3,2,1,1,3,1,4,2,3,1,1,1,1,1,1,4,1,1,0,1,8,8,0,1,1,1,1,1,1,1,0,1,0,0,0,0,NA,1,1,0,6,0,1,0,0,5,1,1,1,0,0,0,1,1,6,4,0,40,60,0,70,50,0,60,1,3,0,0,2,2,2,NA,7,4,1,1,1,0,1,0,1,1,1,99,99,0
36,1,0,1,0,0,0,0,0,0,1,1,2,5,3,3,4,2,4,3,1,2,1,1,2,1,1,4,3,1,1,3,3,3,3,1,3,3,3,1,1,0,0,1,1,1,0.6666666865348816,1,2,3,2,1,3,1,1,4,1,0,1,1,0,1,4,4,1,1,3,3,1,1,3,3,1,3,1,6,2,0,0,0,0,0,1,1,0.3333333432674408,0.4000000059604645,2,1,3,1,2,1,3,1,4,3,2,1,1,1,1,1,1,1,1,2,1,4,9,9,1,1,1,0,1,1,1,0.8333333134651184,1,1,1,0,0,0,NA,0,3,0,6,0,0,1,0,4,2,3,2,9,0,0,1,0,8,8,0,60,50,40,60,50,30,60,0,2,1,5,1,3,7,NA,6,5,0,0,0,0,0,0,0,0,0,9,99,1
