County,State,CountyFIPS,Diabetes_Number,Obesity_Number,Physical_Inactivity_Number,sex and age_total population_65 years and over_sex ratio (males per 100 females),race_total population,race_total population_one race,race_total population_two or more races,race_total population_one race_1,race_total population_one race_white,race_total population_one race_black or african american,race_total population_one race_american indian and alaska native,race_total population_one race_american indian and alaska native_cherokee tribal grouping,race_total population_one race_american indian and alaska native_chippewa tribal grouping,race_total population_one race_american indian and alaska native_navajo tribal grouping,race_total population_one race_american indian and alaska native_sioux tribal grouping,race_total population_one race_asian,race_total population_one race_asian_asian indian,race_total population_one race_asian_chinese,race_total population_one race_asian_filipino,race_total population_one race_asian_japanese,race_total population_one race_asian_korean,race_total population_one race_asian_vietnamese,race_total population_one race_asian_other asian,race_total population_one race_native hawaiian and other pacific islander,race_total population_one race_native hawaiian and other pacific islander_native hawaiian,race_total population_one race_native hawaiian and other pacific islander_guamanian or chamorro,race_total population_one race_native hawaiian and other pacific islander_samoan,race_total population_one race_native hawaiian and other pacific islander_other pacific islander,race_total population_one race_some other race,race_total population_two or more races_1,race_total population_two or more races_white and black or african american,race_total population_two or more races_white and american indian and alaska native,race_total population_two or more races_white and asian,race_total population_two or more races_black or african american and american indian and alaska native,race alone or in combination with one or more other races_total population,race alone or in combination with one or more other races_total population_white,race alone or in combination with one or more other races_total population_black or african american,race alone or in combination with one or more other races_total population_american indian and alaska native,race alone or in combination with one or more other races_total population_asian,race alone or in combination with one or more other races_total population_native hawaiian and other pacific islander,race alone or in combination with one or more other races_total population_some other race,hispanic or latino and race_total population,hispanic or latino and race_total population_hispanic or latino (of any race),hispanic or latino and race_total population_hispanic or latino (of any race)_mexican,hispanic or latino and race_total population_hispanic or latino (of any race)_puerto rican,hispanic or latino and race_total population_hispanic or latino (of any race)_cuban,hispanic or latino and race_total population_hispanic or latino (of any race)_other hispanic or latino,hispanic or latino and race_total population_not hispanic or latino,hispanic or latino and race_total population_not hispanic or latino_white alone,hispanic or latino and race_total population_not hispanic or latino_black or african american alone,hispanic or latino and race_total population_not hispanic or latino_american indian and alaska native alone,hispanic or latino and race_total population_not hispanic or latino_asian alone,hispanic or latino and race_total population_not hispanic or latino_native hawaiian and other pacific islander alone,hispanic or latino and race_total population_not hispanic or latino_some other race alone,hispanic or latino and race_total population_not hispanic or latino_two or more races,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races including some other race,hispanic or latino and race_total population_not hispanic or latino_two or more races_two races excluding some other race -  and three or more races,total housing units,citizen -  voting age population_citizen -  18 and over population,citizen -  voting age population_citizen -  18 and over population_male,citizen -  voting age population_citizen -  18 and over population_female,sex and age_total population,sex and age_total population_male,sex and age_total population_female,sex and age_total population_sex ratio (males per 100 females),sex and age_total population_under 5 years,sex and age_total population_5 to 9 years,sex and age_total population_10 to 14 years,sex and age_total population_15 to 19 years,sex and age_total population_20 to 24 years,sex and age_total population_25 to 34 years,sex and age_total population_35 to 44 years,sex and age_total population_45 to 54 years,sex and age_total population_55 to 59 years,sex and age_total population_60 to 64 years,sex and age_total population_65 to 74 years,sex and age_total population_75 to 84 years,sex and age_total population_85 years and over,sex and age_total population_median age (years),sex and age_total population_under 18 years,sex and age_total population_16 years and over,sex and age_total population_18 years and over,sex and age_total population_21 years and over,sex and age_total population_62 years and over,sex and age_total population_65 years and over,sex and age_total population_18 years and over_1,sex and age_total population_18 years and over_male,sex and age_total population_18 years and over_female,sex and age_total population_18 years and over_sex ratio (males per 100 females),sex and age_total population_65 years and over_1,sex and age_total population_65 years and over_male,sex and age_total population_65 years and over_female
Chilton County,Alabama,01021,6198,13637,10841,83.7,43930,42918,1012,42918,36599,4148,123,31,0,0,0,190,0,0,106,0,10,70,4,0,0,0,0,0,1858,1012,492,296,14,2,43930,37577,4753,515,236,17,1955,43930,3416,2979,26,36,375,40514,35205,4112,39,190,0,80,888,12,876,19586,31953,15424,16529,43930,21672,22258,97.4,2767,3103,2869,2823,2575,5829,5608,5656,3037,2736,4136,2189,602,38.6,10647,34516,33283,31806,8292,6927,33283,16204,17079,94.9,6927,3156,3771
Choctaw County,Alabama,01023,1799,4749,3391,78.0,13075,13040,35,13040,7420,5590,9,6,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,8,35,9,16,3,7,13075,7448,5606,32,16,0,8,13075,73,23,28,7,15,13002,7370,5570,9,13,0,5,35,0,35,7344,10400,4834,5566,13075,6253,6822,91.7,671,707,760,807,694,1326,1446,1806,1074,900,1647,942,295,46.1,2650,10800,10425,10002,3480,2884,10425,4846,5579,86.9,2884,1264,1620
Clarke County,Alabama,01025,4538,6591,7406,78.7,24387,24256,131,24256,12935,11173,25,4,0,0,0,123,40,24,30,0,0,21,8,0,0,0,0,0,0,131,93,30,0,0,24387,13066,11266,55,123,0,8,24387,48,16,14,0,18,24339,12895,11173,25,123,0,0,123,0,123,12741,18972,8855,10117,24387,11539,12848,89.8,1364,1375,1591,1611,1576,2593,2921,3317,1940,1473,2575,1586,465,42.3,5389,19763,18998,18139,5533,4626,18998,8863,10135,87.4,4626,2038,2588
Clay County,Alabama,01027,1666,3847,3482,83.1,13378,13282,96,13282,11106,1977,155,22,0,0,0,18,0,13,5,0,0,0,0,0,0,0,0,0,26,96,57,28,0,4,13378,11198,2038,187,18,0,33,13378,415,275,0,18,122,12963,10740,1971,119,18,0,26,89,0,89,6802,10383,4971,5412,13378,6464,6914,93.5,670,651,997,893,882,1194,1654,1824,1126,835,1544,859,249,43.7,2819,10843,10559,9846,3240,2652,10559,5038,5521,91.3,2652,1204,1448
Cleburne County,Alabama,01029,1555,3801,2912,80.0,14938,14629,309,14629,14068,393,39,39,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,126,309,208,44,21,18,14938,14359,619,101,24,0,144,14938,362,287,18,8,49,14576,13839,393,39,3,0,11,291,0,291,6806,11343,5459,5884,14938,7281,7657,95.1,821,1055,962,895,760,1706,1824,2110,966,1036,1618,773,412,42.5,3438,11847,11500,11083,3400,2803,11500,5563,5937,93.7,2803,1246,1557
Coffee County,Alabama,01031,6114,14086,12128,78.3,51288,49679,1609,49679,38923,8829,617,83,0,0,0,666,26,317,35,8,242,10,28,0,0,0,0,0,644,1609,389,509,359,231,51288,40295,9512,1376,1077,71,654,51288,3549,1371,953,69,1156,47739,36223,8746,581,666,0,41,1482,0,1482,23088,38221,18650,19571,51288,25314,25974,97.5,3178,3251,3588,3271,3088,6474,6764,6837,3543,2919,4861,2608,906,39.3,12161,40510,39127,37516,9907,8375,39127,19077,20050,95.1,8375,3677,4698
Colbert County,Alabama,01033,7008,15503,14654,75.0,54495,53289,1206,53289,43288,8615,367,233,0,0,0,267,72,35,41,34,28,32,25,29,21,8,0,0,723,1206,495,217,114,32,54495,44439,9281,798,458,34,873,54495,1349,888,142,8,311,53146,42865,8561,367,244,29,18,1062,11,1051,26466,42391,19977,22414,54495,26075,28420,91.7,3098,3272,3189,3134,3164,6496,6536,7395,3831,3878,6003,3283,1216,42.7,11608,44328,42887,41243,12863,10502,42887,20224,22663,89.2,10502,4501,6001
Conecuh County,Alabama,01035,2295,4030,4083,82.9,12514,12416,98,12416,6369,5971,56,56,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,2,98,20,3,73,2,12514,6465,5993,61,91,0,2,12514,105,103,0,0,2,12409,6274,5961,56,18,0,2,98,0,98,7143,9806,4673,5133,12514,6037,6477,93.2,715,894,572,872,613,1288,1351,1601,1075,826,1634,761,312,44.8,2651,10152,9863,9311,3188,2707,9863,4689,5174,90.6,2707,1227,1480
Coosa County,Alabama,01037,2250,3943,3149,86.3,10855,10855,0,10855,7133,3713,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10855,7133,3713,9,0,0,0,10855,50,30,20,0,0,10805,7084,3713,8,0,0,0,0,0,0,6558,8957,4510,4447,10855,5501,5354,102.7,342,432,722,550,579,1158,1261,1546,1109,788,1350,817,201,46.9,1850,9227,9005,8624,2831,2368,9005,4517,4488,100.6,2368,1097,1271
Covington County,Alabama,01039,4723,10118,10318,76.3,37351,36750,601,36750,31624,4826,58,15,0,0,0,159,0,35,5,38,38,0,43,13,0,0,0,13,70,601,153,371,59,5,37351,32207,4997,434,231,13,70,37351,604,303,29,36,236,36747,31146,4790,58,144,13,0,596,0,596,18907,29030,13855,15175,37351,18172,19179,94.7,2142,2496,2138,2086,2051,4294,4098,4895,2642,2859,4230,2558,862,43.9,8190,30107,29161,28166,9467,7650,29161,13891,15270,91,7650,3311,4339
Crenshaw County,Alabama,01041,2057,3670,3569,75.9,13865,13579,286,13579,9938,3198,109,6,0,0,0,188,46,0,0,0,78,64,0,0,0,0,0,0,146,286,216,33,0,20,13865,10187,3451,173,199,0,152,13865,275,144,59,6,66,13590,9869,3147,106,188,0,0,280,0,280,6790,10557,4998,5559,13865,6814,7051,96.6,787,868,925,862,748,1567,1742,1826,1070,928,1535,696,311,41.5,3116,11106,10749,10245,3139,2542,10749,5158,5591,92.3,2542,1097,1445
Cullman County,Alabama,01043,9619,22306,21320,79.6,82313,80868,1445,80868,78392,998,348,305,0,0,0,334,65,30,104,102,33,0,0,3,0,0,0,3,793,1445,317,633,173,6,82313,79737,1372,1075,609,19,989,82313,3543,2775,204,53,511,78770,75826,954,348,334,0,9,1299,71,1228,37652,62648,30500,32148,82313,40560,41753,97.1,4979,4736,5596,5009,4781,10166,10178,11013,5716,5336,8756,4946,1101,40.6,18572,65879,63741,60657,17697,14803,63741,31142,32599,95.5,14803,6561,8242
Dale County,Alabama,01045,5735,15384,11658,77.3,49255,47599,1656,47599,35889,9749,377,86,22,0,0,633,70,0,172,159,147,5,80,4,0,0,0,4,947,1656,587,340,287,124,49255,37195,10650,894,1200,60,1001,49255,3070,1554,718,71,727,46185,34005,9611,300,533,4,244,1488,32,1456,23065,37044,18118,18926,49255,24234,25021,96.9,3231,3162,3148,3023,3309,7126,5816,6153,3629,2719,4579,2496,864,37.5,11506,39028,37749,36129,9294,7939,37749,18392,19357,95,7939,3461,4478
Dallas County,Alabama,01047,4950,12105,9429,73.2,40029,39749,280,39749,11257,28210,10,0,0,0,0,224,158,23,0,12,0,0,31,23,0,23,0,0,25,280,20,141,11,10,40029,11453,28332,185,249,50,64,40029,412,292,13,0,107,39617,11024,28119,10,224,4,0,236,9,227,20336,29899,13310,16589,40029,18448,21581,85.5,2477,2842,2682,2906,2522,4674,4455,4935,3068,2763,3993,2182,530,39.5,9780,31400,30249,28458,8329,6705,30249,13535,16714,81,6705,2833,3872
Dekalb County,Alabama,01049,8286,15838,17154,80.4,71200,69570,1630,69570,60972,1004,934,551,2,0,11,140,0,9,23,0,65,0,43,621,0,621,0,0,5899,1630,361,852,207,0,71200,62602,1428,1837,359,633,6046,71200,10220,5801,45,0,4374,60980,57441,979,910,140,99,11,1400,8,1392,31462,49745,23985,25760,71200,35304,35896,98.4,4251,4916,5151,4805,4201,8592,9017,9396,4919,4333,7047,3533,1039,39.3,17480,55947,53720,51146,14315,11619,53720,26258,27462,95.6,11619,5180,6439
Elmore County,Alabama,01051,9271,21351,15048,84.0,81212,79601,1611,79601,60824,17402,209,99,0,0,36,392,68,74,44,15,94,0,97,0,0,0,0,0,774,1611,503,498,356,11,81212,62272,18005,758,894,128,844,81212,2347,1577,366,190,214,78865,59471,17148,186,392,0,197,1471,21,1450,34004,62289,29806,32483,81212,39450,41762,94.5,4736,4761,5460,5243,5253,11165,11133,11282,5750,4659,7271,3358,1141,38.6,18239,65199,62973,59878,14379,11770,62973,30185,32788,92.1,11770,5373,6397
Escambia County,Alabama,01053,5274,10192,9351,75.5,37328,36891,437,36891,23095,11920,1437,23,0,0,0,135,0,105,0,0,0,0,30,72,0,0,0,72,232,437,205,156,0,22,37328,23491,12173,1638,148,75,258,37328,838,816,12,0,10,36490,22480,11912,1435,135,72,39,417,6,411,16595,28875,14814,14061,37328,19067,18261,104.4,2122,2290,2491,2212,2248,4982,4802,4897,2453,2355,3741,2077,658,39.7,8328,29981,29000,27677,7711,6476,29000,14922,14078,106,6476,2787,3689
Etowah County,Alabama,01055,13547,28404,26308,74.9,102939,101229,1710,101229,82710,16212,751,134,0,6,0,739,132,244,155,7,22,42,137,66,0,24,0,42,751,1710,761,597,153,41,102939,84363,17074,1415,936,74,872,102939,3880,2071,147,85,1577,99059,80374,15816,424,739,66,80,1560,0,1560,47705,78914,37292,41622,102939,49651,53288,93.2,5793,6148,6210,6484,6309,12089,12948,14048,7243,6790,11180,5755,1942,41.3,22281,83391,80658,76935,23149,18877,80658,38286,42372,90.4,18877,8085,10792
Fayette County,Alabama,01057,2470,4740,3782,77.2,16585,16187,398,16187,14095,1978,0,0,0,0,0,108,18,30,14,8,0,25,13,6,0,6,0,0,0,398,239,60,3,19,16585,14397,2313,79,125,69,0,16585,285,103,40,0,142,16300,14042,1858,0,108,6,0,286,0,286,8470,12999,6200,6799,16585,8170,8415,97.1,925,914,1036,1076,917,1899,1875,2179,1135,1237,2014,1010,368,43.8,3562,13491,13023,12444,4136,3392,13023,6209,6814,91.1,3392,1478,1914
Franklin County,Alabama,01059,3339,8458,8525,76.8,31542,31229,313,31229,26467,1388,488,53,0,0,0,119,0,2,3,0,9,0,105,0,0,0,0,0,2767,313,28,158,2,0,31542,26766,1507,659,219,3,2791,31542,5333,2522,0,55,2756,26209,24313,1338,159,119,0,17,263,0,263,14152,21830,10612,11218,31542,15602,15940,97.9,2165,1851,2416,2021,2277,3993,3972,4039,1662,2046,2957,1578,565,37.6,7806,24598,23736,22455,6310,5100,23736,11560,12176,94.9,5100,2216,2884
Geneva County,Alabama,01061,3864,8279,8174,80.3,26491,25966,525,25966,22871,2529,210,80,0,0,0,109,0,97,0,1,2,0,9,4,0,0,0,4,243,525,240,189,8,0,26491,23396,2769,419,137,4,311,26491,1027,681,114,111,121,25464,22235,2468,191,109,4,0,457,0,457,12768,20419,9828,10591,26491,12971,13520,95.9,1445,1703,1681,1661,1403,2973,3116,3600,2049,1708,2989,1724,439,42.4,5856,21376,20635,19749,5985,5152,20635,9940,10695,92.9,5152,2295,2857
Greene County,Alabama,01063,1373,2393,1494,71.9,8426,8206,220,8206,1445,6713,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,41,0,8426,1643,6892,205,41,0,22,8426,143,3,137,0,3,8283,1445,6707,48,0,0,0,83,22,61,5075,6561,3060,3501,8426,3950,4476,88.2,490,537,488,493,585,1006,766,997,688,660,954,560,202,42.5,1862,6661,6564,6317,2248,1716,6564,3060,3504,87.3,1716,718,998
Hale County,Alabama,01065,1966,4988,3500,77.7,14887,14815,72,14815,5898,8748,29,29,0,0,0,39,0,0,12,0,27,0,0,0,0,0,0,0,101,72,32,0,0,0,14887,5970,8780,29,39,0,141,14887,130,130,0,0,0,14757,5898,8743,29,39,0,16,32,0,32,7777,11377,5239,6138,14887,7019,7868,89.2,971,887,986,1128,844,1687,1630,1887,970,1180,1573,802,342,39.2,3481,11857,11406,10660,3505,2717,11406,5248,6158,85.2,2717,1188,1529
Henry County,Alabama,01067,2152,4636,3833,78.4,17124,16969,155,16969,12179,4749,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,155,38,61,0,0,17124,12324,4802,70,36,26,52,17124,448,340,10,36,62,16676,11805,4727,4,0,0,0,140,0,140,9096,13417,6314,7103,17124,8232,8892,92.6,933,823,1184,1013,1004,1652,2143,2219,1307,1150,2246,1008,442,44.1,3587,13980,13537,12999,4504,3696,13537,6409,7128,89.9,3696,1624,2072
Houston County,Alabama,01069,12774,30039,25256,75.7,104352,102183,2169,102183,72387,28078,305,87,0,45,3,873,190,138,70,50,113,157,155,18,18,0,0,0,522,2169,812,639,258,85,104352,74293,29103,1177,1325,48,731,104352,3437,2093,415,195,734,100915,69826,27887,277,848,13,75,1989,80,1909,47187,78819,36755,42064,104352,50029,54323,92.1,6340,6718,6985,6478,6133,13559,13006,13743,7431,6344,10283,5409,1923,39.8,24386,82833,79966,76542,21268,17615,79966,37442,42524,88,17615,7588,10027
Jackson County,Alabama,01071,6361,14207,13502,79.4,52094,50670,1424,50670,47412,1799,615,358,0,0,30,215,22,38,24,20,24,83,4,77,58,13,6,0,552,1424,223,1047,79,1,52094,48828,2039,1676,314,90,600,52094,1505,1021,76,8,400,50589,46537,1799,545,215,77,50,1366,5,1361,25106,40528,19500,21028,52094,25536,26558,96.2,2793,3217,3106,3035,2718,6009,6467,7129,4034,3614,5948,3027,997,43.3,11159,42344,40935,39201,12034,9972,40935,19699,21236,92.8,9972,4414,5558
Jefferson County,Alabama,01073,62591,170351,143193,70.1,659892,648720,11172,648720,342591,281702,1564,555,4,0,30,10250,2840,2438,686,213,1290,1208,1575,215,34,47,0,134,12398,11172,3753,1853,1928,628,659892,351513,287867,4795,13343,515,13829,659892,25048,17106,2137,373,5432,634844,330862,280748,1265,10169,206,1465,10129,486,9643,307372,492332,226637,265695,659892,312348,347544,89.9,42537,42904,41175,41417,43127,95193,83539,83353,45223,42278,57319,29108,12719,37.7,151658,525347,508234,482781,123884,99146,508234,235174,273060,86.1,99146,40852,58294
Lamar County,Alabama,01075,2285,3595,3291,75.9,13933,13864,69,13864,12187,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,69,41,28,0,0,13933,12256,1599,28,0,0,119,13933,218,199,10,0,9,13715,11981,1558,0,0,0,107,69,0,69,7390,10818,5170,5648,13933,6800,7133,95.3,699,878,935,867,661,1472,1562,1881,1065,975,1580,1016,342,44.5,3065,11160,10868,10416,3598,2938,10868,5200,5668,91.7,2938,1268,1670
Lauderdale County,Alabama,01077,10425,23068,19242,76.1,92585,91194,1391,91194,80561,9364,417,119,0,0,0,612,173,195,104,21,39,0,80,61,15,0,0,46,179,1391,700,396,157,15,92585,81937,10118,847,797,69,255,92585,2412,1703,248,35,426,90173,78501,9183,417,612,61,109,1290,10,1280,44792,72968,34475,38493,92585,44315,48270,91.8,4736,5563,4852,6149,7856,10896,10263,11884,6240,6270,10190,5483,2203,41.4,18522,76107,74063,69230,21607,17876,74063,34928,39135,89.3,17876,7724,10152
Lawrence County,Alabama,01079,5561,8274,7616,78.3,33171,31520,1651,31520,25942,3627,1878,1635,0,0,0,44,0,5,7,0,0,32,0,24,24,0,0,0,5,1651,37,1143,81,209,33171,27384,3887,3230,129,24,182,33171,707,590,15,21,81,32464,25390,3615,1878,44,24,0,1513,39,1474,15373,25719,12467,13252,33171,16003,17168,93.2,1855,2012,2184,1953,1772,3969,4005,4845,2559,2230,3589,1669,529,42.2,7232,26741,25939,24909,6815,5787,25939,12532,13407,93.5,5787,2541,3246
Lee County,Alabama,01081,12273,36845,23837,80.9,159287,156343,2944,156343,111986,36675,226,138,0,0,0,6577,868,1315,124,179,2877,521,693,18,0,0,0,18,861,2944,1041,760,377,115,159287,114626,38223,1176,7219,100,1107,159287,5865,2614,1426,143,1682,153422,107395,36389,226,6475,0,295,2642,71,2571,68081,119752,57905,61847,159287,78372,80915,96.9,9431,8850,10200,13411,22407,22867,19236,18654,8453,8039,11113,5053,1573,31.4,34202,128804,125085,111421,22707,17739,125085,60973,64112,95.1,17739,7935,9804
