Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 12-October-2020
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Morgan County,Alabama,01103,10785,7899,14042
Perry County,Alabama,01105,1387,937,1888
Pickens County,Alabama,01107,2979,2042,4058
Pike County,Alabama,01109,3605,2475,4993
Randolph County,Alabama,01111,3071,2014,4497
Russell County,Alabama,01113,6977,4272,10218
Shelby County,Alabama,01117,16496,12814,20622
St. Clair County,Alabama,01115,9416,7276,11887
Sumter County,Alabama,01119,1752,1266,2352
Talladega County,Alabama,01121,10392,8469,12569
Tallapoosa County,Alabama,01123,4456,3365,5638
Tuscaloosa County,Alabama,01125,18708,16090,21173
Walker County,Alabama,01127,7285,5808,8827
Washington County,Alabama,01129,1556,1012,2248
Wilcox County,Alabama,01131,1461,1000,2052
Winston County,Alabama,01133,3998,2814,5514
Aleutians East Borough,Alaska,02013,457,244,743
Aleutians West Census Area,Alaska,02016,374,187,605
Anchorage Municipality,Alaska,02020,18094,15661,20884
Bethel Census Area,Alaska,02050,717,436,1063
Bristol Bay Borough,Alaska,02060,121,71,183
Denali Borough,Alaska,02068,131,55,274
Dillingham Census Area,Alaska,02070,270,151,408
Fairbanks North Star Borough,Alaska,02090,5214,4397,6215
Haines Borough,Alaska,02100,146,75,252
Hoonah-Angoon Census Area,Alaska,02105,258,122,425
Juneau City and Borough,Alaska,02110,1454,1089,1919
Kenai Peninsula Borough,Alaska,02122,4260,3424,5151
Ketchikan Gateway Borough,Alaska,02130,1127,825,1521
Kodiak Island Borough,Alaska,02150,649,409,946
Kusilvak Census Area,Alaska,02158,209,67,381
Lake and Peninsula Borough,Alaska,02164,131,72,216
Matanuska-Susitna Borough,Alaska,02170,6686,5657,7838
Nome Census Area,Alaska,02180,408,226,623
North Slope Borough,Alaska,02185,390,196,664
Northwest Arctic Borough,Alaska,02188,695,463,1000
Petersburg Census Area,Alaska,02195,227,124,368
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Prince of Wales-Hyder Censu,Alaska,02198,582,307,904
Sitka City and Borough,Alaska,02220,430,228,745
Skagway Municipality,Alaska,02230,46,21,95
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Southeast Fairbanks Census Area,Alaska,02240,519,386,672
Valdez-Cordova Census Area,Alaska,02261,494,307,753
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,367,207,591
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Yakutat City and Borough,Alaska,02282,47,13,109
Yukon-Koyukuk Census Area,Alaska,02290,359,250,480
Apache County,Arizona,04001,8107,7251,8975
Cochise County,Arizona,04003,9738,8161,11379
Coconino County,Arizona,04005,7912,6738,9343
Gila County,Arizona,04007,5711,4936,6447
Graham County,Arizona,04009,3131,2315,4081
Greenlee County,Arizona,04011,761,441,1276
La Paz County,Arizona,04012,3009,2069,4141
Maricopa County,Arizona,04013,276140,263696,289218
Mohave County,Arizona,04015,23421,20762,26490
Navajo County,Arizona,04017,11577,10165,12910
Pima County,Arizona,04019,67925,62246,73526
Pinal County,Arizona,04021,43253,38754,47922
Santa Cruz County,Arizona,04023,3009,2139,4093
Yavapai County,Arizona,04025,20165,17371,22750
Yuma County,Arizona,04027,17980,14725,21519
Arkansas County,Arkansas,05001,2484,1784,3303
Ashley County,Arkansas,05003,2042,1447,2763
Baxter County,Arkansas,05005,5180,4079,6533
Benton County,Arkansas,05007,18125,15275,21325
Boone County,Arkansas,05009,3098,2212,4306
Bradley County,Arkansas,05011,1481,817,2522
Calhoun County,Arkansas,05013,402,194,704
Carroll County,Arkansas,05015,1863,1162,2691
Chicot County,Arkansas,05017,729,476,1058
Clark County,Arkansas,05019,2373,1427,3584
Clay County,Arkansas,05021,1110,711,1668
Cleburne County,Arkansas,05023,2533,1588,3688
Cleveland County,Arkansas,05025,955,592,1395
Columbia County,Arkansas,05027,3247,2255,4566
Conway County,Arkansas,05029,2677,1693,4164
Craighead County,Arkansas,05031,10578,8140,13227
Crawford County,Arkansas,05033,6448,4786,8637
Crittenden County,Arkansas,05035,5679,4327,7484
Cross County,Arkansas,05037,2413,1647,3335
Dallas County,Arkansas,05039,965,523,1599
Desha County,Arkansas,05041,805,452,1260
Drew County,Arkansas,05043,2385,1472,3576
Faulkner County,Arkansas,05045,9374,7101,12056
Franklin County,Arkansas,05047,1908,1098,3041
Fulton County,Arkansas,05049,1198,732,1823
Garland County,Arkansas,05051,12182,9579,15321
Grant County,Arkansas,05053,2297,1476,3338
Greene County,Arkansas,05055,4939,3440,6953
Hempstead County,Arkansas,05057,3333,2165,4699
Hot Spring County,Arkansas,05059,4066,3114,5410
Howard County,Arkansas,05061,922,540,1512
Independence County,Arkansas,05063,3101,2123,4516
Izard County,Arkansas,05065,1769,1179,2503
Jackson County,Arkansas,05067,3826,2252,5682
Jefferson County,Arkansas,05069,7518,6224,8921
Johnson County,Arkansas,05071,2464,1666,3518
Lafayette County,Arkansas,05073,1023,598,1669
Lawrence County,Arkansas,05075,1450,854,2327
Lee County,Arkansas,05077,1047,692,1503
Lincoln County,Arkansas,05079,1604,959,2467
Little River County,Arkansas,05081,1949,1075,3034
Logan County,Arkansas,05083,2513,1603,3756
Lonoke County,Arkansas,05085,7380,5360,10208
Madison County,Arkansas,05087,1462,842,2364
Marion County,Arkansas,05089,1851,1285,2590
Miller County,Arkansas,05091,4047,2860,5447
Mississippi County,Arkansas,05093,5517,4124,7148
Monroe County,Arkansas,05095,1030,364,1859
Montgomery County,Arkansas,05097,694,398,1076
Nevada County,Arkansas,05099,956,520,1556
Newton County,Arkansas,05101,782,482,1183
Ouachita County,Arkansas,05103,3335,2467,4317
Perry County,Arkansas,05105,960,527,1554
Phillips County,Arkansas,05107,2751,2114,3509
Pike County,Arkansas,05109,1381,911,2006
Poinsett County,Arkansas,05111,3731,2369,5487
Polk County,Arkansas,05113,2062,1375,3055
Pope County,Arkansas,05115,6768,5087,8581
Prairie County,Arkansas,05117,845,467,1455
Pulaski County,Arkansas,05119,35617,31784,39654
Randolph County,Arkansas,05121,2241,1476,3347
Saline County,Arkansas,05125,9637,7511,12285
Scott County,Arkansas,05127,1290,771,2004
Searcy County,Arkansas,05129,1085,693,1626
Sebastian County,Arkansas,05131,13678,10951,16538
Sevier County,Arkansas,05133,1782,1265,2438
Sharp County,Arkansas,05135,2792,1853,3995
St. Francis County,Arkansas,05123,3056,2326,3935
Stone County,Arkansas,05137,1420,958,1938
Union County,Arkansas,05139,3836,2792,5011
Van Buren County,Arkansas,05141,2116,1511,2827
Washington County,Arkansas,05143,15793,12963,19155
White County,Arkansas,05145,9968,7554,12753
Woodruff County,Arkansas,05147,1366,743,2226
Yell County,Arkansas,05149,2133,1487,3059
Alameda County,California,06001,89045,73466,104099
Alpine County,California,06003,60,25,132
Amador County,California,06005,5450,3413,8205
Butte County,California,06007,18292,13171,24124
Calaveras County,California,06009,4001,2160,6436
Colusa County,California,06011,2333,1240,3940
Contra Costa County,California,06013,73205,60706,86965
Del Norte County,California,06015,3554,1773,6300
El Dorado County,California,06017,11797,8245,15728
Fresno County,California,06019,65852,53021,79734
Glenn County,California,06021,2226,1138,3820
Humboldt County,California,06023,10350,7325,14026
Imperial County,California,06025,11449,7281,16278
Inyo County,California,06027,1630,908,2693
Kern County,California,06029,59028,47734,72721
Kings County,California,06031,13556,8338,20828
Lake County,California,06033,5196,3244,8120
Lassen County,California,06035,3691,1697,7272
Los Angeles County,California,06037,671407,620913,725254
Madera County,California,06039,13199,8877,18861
Marin County,California,06041,16538,11574,22557
Mariposa County,California,06043,1176,595,2020
Mendocino County,California,06045,7164,4878,10449
Merced County,California,06047,23676,16917,31758
Modoc County,California,06049,814,423,1439
Mono County,California,06051,1204,416,3054
Monterey County,California,06053,28182,20731,37273
Napa County,California,06055,10514,7010,15149
Nevada County,California,06057,4396,2633,6809
Orange County,California,06059,206411,181489,235990
Placer County,California,06061,20330,14929,26760
Plumas County,California,06063,1125,639,1786
Riverside County,California,06065,168452,145757,192456
Sacramento County,California,06067,106011,91897,120669
San Benito County,California,06069,4162,2278,7311
San Bernardino County,California,06071,158233,137361,181679
San Diego County,California,06073,190105,167711,213727
San Francisco County,California,06075,45277,33774,57715
San Joaquin County,California,06077,53185,42197,65549
San Luis Obispo County,California,06079,20106,14597,26330
San Mateo County,California,06081,47900,37549,59967
Santa Barbara County,California,06083,26010,19301,33937
Santa Clara County,California,06085,124080,105578,143999
Santa Cruz County,California,06087,12929,8922,18112
Shasta County,California,06089,16955,12214,22411
Sierra County,California,06091,175,75,401
Siskiyou County,California,06093,3449,1861,5424
Solano County,California,06095,31346,22501,40531
Sonoma County,California,06097,32287,25456,40650
Stanislaus County,California,06099,39149,30732,48790
Sutter County,California,06101,9006,5847,12916
Tehama County,California,06103,5267,3351,7490
Trinity County,California,06105,1004,530,1812
Tulare County,California,06107,33514,24965,43192
Tuolumne County,California,06109,3509,1905,5564
Ventura County,California,06111,55045,44297,67756
Yolo County,California,06113,12393,8715,16798
Yuba County,California,06115,6851,4501,9802
Adams County,Colorado,08001,26368,23077,30073
Alamosa County,Colorado,08003,866,569,1267
Arapahoe County,Colorado,08005,33839,30140,37937
Archuleta County,Colorado,08007,623,384,956
Baca County,Colorado,08009,375,209,585
Bent County,Colorado,08011,601,314,1036
Boulder County,Colorado,08013,13493,11419,15655
Broomfield County,Colorado,08014,3527,2512,4779
Chaffee County,Colorado,08015,1326,886,1928
Cheyenne County,Colorado,08017,128,68,216
Clear Creek County,Colorado,08019,496,234,864
Conejos County,Colorado,08021,587,359,871
Costilla County,Colorado,08023,535,312,848
Crowley County,Colorado,08025,390,169,797
Custer County,Colorado,08027,463,277,708
Delta County,Colorado,08029,2610,1960,3341
Denver County,Colorado,08031,28235,24939,31863
Dolores County,Colorado,08033,126,63,206
Douglas County,Colorado,08035,13322,11033,15767
Eagle County,Colorado,08037,1810,1175,2650
El Paso County,Colorado,08041,33485,29802,37332
Elbert County,Colorado,08039,1307,889,1851
Fremont County,Colorado,08043,3276,2446,4262
Garfield County,Colorado,08045,2053,1391,2903
Gilpin County,Colorado,08047,283,115,556
Grand County,Colorado,08049,803,461,1280
Gunnison County,Colorado,08051,408,217,675
Hinsdale County,Colorado,08053,63,30,111
Huerfano County,Colorado,08055,515,332,742
Jackson County,Colorado,08057,116,56,223
Jefferson County,Colorado,08059,27649,24339,31255
Kiowa County,Colorado,08061,90,47,158
Kit Carson County,Colorado,08063,574,373,850
La Plata County,Colorado,08067,2313,1637,3135
Lake County,Colorado,08065,478,247,819
Larimer County,Colorado,08069,14195,11981,16592
Las Animas County,Colorado,08071,1460,1041,1991
Lincoln County,Colorado,08073,302,152,493
Logan County,Colorado,08075,1672,1233,2253
Mesa County,Colorado,08077,9828,8275,11667
Mineral County,Colorado,08079,61,32,102
Moffat County,Colorado,08081,786,480,1209
Montezuma County,Colorado,08083,2543,1793,3415
Montrose County,Colorado,08085,2591,1843,3492
Morgan County,Colorado,08087,1883,1360,2489
Otero County,Colorado,08089,1685,1232,2213
Ouray County,Colorado,08091,274,145,475
Park County,Colorado,08093,840,469,1366
Phillips County,Colorado,08095,302,182,472
Pitkin County,Colorado,08097,586,323,921
Prowers County,Colorado,08099,1075,733,1496
Pueblo County,Colorado,08101,12411,10264,14771
Rio Blanco County,Colorado,08103,303,153,569
Rio Grande County,Colorado,08105,932,620,1351
Routt County,Colorado,08107,1072,629,1723
Saguache County,Colorado,08109,705,440,1050
San Juan County,Colorado,08111,47,24,79
San Miguel County,Colorado,08113,230,98,405
Sedgwick County,Colorado,08115,203,104,346
Summit County,Colorado,08117,1032,630,1592
Teller County,Colorado,08119,1405,928,2040
Washington County,Colorado,08121,495,308,780
Weld County,Colorado,08123,16262,13877,18552
Yuma County,Colorado,08125,592,409,827
Fairfield County,Connecticut,09001,51013,47481,54679
Hartford County,Connecticut,09003,69361,65204,73787
Litchfield County,Connecticut,09005,11786,10081,13592
Middlesex County,Connecticut,09007,10828,9243,12535
New Haven County,Connecticut,09009,66864,62430,71243
New London County,Connecticut,09011,20388,18389,22630
Tolland County,Connecticut,09013,9089,7871,10387
Windham County,Connecticut,09015,9837,8626,11059
Kent County,Delaware,10001,18134,16884,19461
New Castle County,Delaware,10003,44328,41293,47517
Sussex County,Delaware,10005,23043,21454,24652
District Of Columbia,District of Columbia,11001,44352,42156,46601
Alachua County,Florida,12001,19097,16181,22348
Baker County,Florida,12003,3019,2485,3584
Bay County,Florida,12005,16955,14858,19294
Bradford County,Florida,12007,2662,2275,3054
Brevard County,Florida,12009,61315,53175,69997
Broward County,Florida,12011,135342,115551,155817
Calhoun County,Florida,12013,1879,1623,2147
Charlotte County,Florida,12015,20029,17489,22818
Citrus County,Florida,12017,16118,13850,18387
Clay County,Florida,12019,18898,15962,21918
Collier County,Florida,12021,27476,22820,32203
Columbia County,Florida,12023,7963,7031,8893
Desoto County,Florida,12027,4167,3585,4813
Dixie County,Florida,12029,1935,1679,2226
Duval County,Florida,12031,91789,82484,101002
Escambia County,Florida,12033,30882,26561,35298
Flagler County,Florida,12035,11237,9711,12946
Franklin County,Florida,12037,1121,945,1295
Gadsden County,Florida,12039,7140,6305,8082
Gilchrist County,Florida,12041,2048,1678,2486
Glades County,Florida,12043,2360,1894,2870
Gulf County,Florida,12045,1769,1508,2057
Hamilton County,Florida,12047,1686,1461,1940
Hardee County,Florida,12049,3145,2630,3726
Hendry County,Florida,12051,3763,3104,4516
Hernando County,Florida,12053,22586,19651,25774
Highlands County,Florida,12055,13079,11492,14782
Hillsborough County,Florida,12057,111609,96385,127236
Holmes County,Florida,12059,2197,1889,2565
Indian River County,Florida,12061,13762,11476,16264
Jackson County,Florida,12063,6151,5525,6873
Jefferson County,Florida,12065,1638,1360,1933
Lafayette County,Florida,12067,940,761,1139
Lake County,Florida,12069,35076,30354,39855
Lee County,Florida,12071,63945,54945,73231
Leon County,Florida,12073,17970,15344,20823
Levy County,Florida,12075,5058,4437,5737
Liberty County,Florida,12077,844,686,1034
Madison County,Florida,12079,2385,2102,2693
Manatee County,Florida,12081,33721,28882,39396
Marion County,Florida,12083,43374,38538,48506
Martin County,Florida,12085,13291,10917,15606
Miami-Dade County,Florida,12086,162659,137477,191534
Monroe County,Florida,12087,4619,3730,5608
Nassau County,Florida,12089,6984,5930,8226
Okaloosa County,Florida,12091,17744,15019,20319
Okeechobee County,Florida,12093,4504,3869,5241
Orange County,Florida,12095,88702,77022,101752
Osceola County,Florida,12097,30673,25697,35861
Palm Beach County,Florida,12099,128499,111631,146288
Pasco County,Florida,12101,51151,44131,59177
Pinellas County,Florida,12103,79728,68285,90849
Polk County,Florida,12105,68537,60305,77292
Putnam County,Florida,12107,9969,8627,11256
Santa Rosa County,Florida,12113,15384,13043,17802
Sarasota County,Florida,12115,34291,29160,39558
Seminole County,Florida,12117,35822,30153,41667
St. Johns County,Florida,12109,15102,12586,17779
St. Lucie County,Florida,12111,30147,25937,34854
Sumter County,Florida,12119,19146,16587,22129
Suwannee County,Florida,12121,4915,4268,5657
Taylor County,Florida,12123,2333,2059,2635
Union County,Florida,12125,1722,1440,2042
Volusia County,Florida,12127,56350,49547,63768
Wakulla County,Florida,12129,2301,1875,2825
Walton County,Florida,12131,6759,5735,7899
Washington County,Florida,12133,2746,2389,3152
Appling County,Georgia,13001,2211,1267,3591
Atkinson County,Georgia,13003,742,412,1191
Bacon County,Georgia,13005,1047,488,2054
Baker County,Georgia,13007,457,178,836
Baldwin County,Georgia,13009,4103,2398,6376
Banks County,Georgia,13011,1188,504,2207
Barrow County,Georgia,13013,7856,5101,11418
Bartow County,Georgia,13015,7179,4548,10223
Ben Hill County,Georgia,13017,2627,1694,3958
Berrien County,Georgia,13019,1654,1012,2553
Bibb County,Georgia,13021,20605,15862,26161
Bleckley County,Georgia,13023,539,234,1124
Brantley County,Georgia,13025,1373,722,2384
Brooks County,Georgia,13027,1477,797,2627
Bryan County,Georgia,13029,2273,1251,3590
Bulloch County,Georgia,13031,6310,4413,9062
Burke County,Georgia,13033,3296,1871,5294
Butts County,Georgia,13035,2535,1460,4318
Calhoun County,Georgia,13037,560,280,1021
Camden County,Georgia,13039,4565,3070,6428
Candler County,Georgia,13043,1206,730,1975
Carroll County,Georgia,13045,14859,11093,19323
Catoosa County,Georgia,13047,8167,5496,11874
Charlton County,Georgia,13049,1360,736,2246
Chatham County,Georgia,13051,23900,18592,29911
Chattahoochee County,Georgia,13053,811,208,2374
Chattooga County,Georgia,13055,2648,1576,4273
Cherokee County,Georgia,13057,19740,15185,25494
Clarke County,Georgia,13059,7080,5046,9778
Clay County,Georgia,13061,285,141,475
Clayton County,Georgia,13063,23683,19106,28679
Clinch County,Georgia,13065,855,390,1584
Cobb County,Georgia,13067,49093,41862,57586
Coffee County,Georgia,13069,4225,2630,6445
Colquitt County,Georgia,13071,5242,3327,7425
Columbia County,Georgia,13073,9723,6865,13124
Cook County,Georgia,13075,2081,1282,3115
Coweta County,Georgia,13077,14135,10341,18697
Crawford County,Georgia,13079,1647,839,2719
Crisp County,Georgia,13081,2933,1697,4778
Dade County,Georgia,13083,2974,1675,4610
Dawson County,Georgia,13085,2619,1525,4239
Decatur County,Georgia,13087,2989,2024,4082
Dekalb County,Georgia,13089,60294,52327,69380
Dodge County,Georgia,13091,2387,1324,3832
Dooly County,Georgia,13093,2359,1485,3410
Dougherty County,Georgia,13095,10767,7767,14041
Douglas County,Georgia,13097,11365,8146,15388
Early County,Georgia,13099,898,361,1641
Echols County,Georgia,13101,322,132,727
Effingham County,Georgia,13103,3125,1950,4631
Elbert County,Georgia,13105,2184,1120,3946
Emanuel County,Georgia,13107,3249,1599,5603
Evans County,Georgia,13109,594,269,1186
Fannin County,Georgia,13111,2641,1685,3906
Fayette County,Georgia,13113,7026,4927,9937
Floyd County,Georgia,13115,10248,7223,14071
Forsyth County,Georgia,13117,12038,8310,16078
Franklin County,Georgia,13119,2536,1175,4470
Fulton County,Georgia,13121,63268,55297,71481
Gilmer County,Georgia,13123,3541,2204,5124
Glascock County,Georgia,13125,286,137,560
Glynn County,Georgia,13127,6569,4386,9363
Gordon County,Georgia,13129,5285,3450,7815
Grady County,Georgia,13131,3983,2611,5685
Greene County,Georgia,13133,1594,891,2494
Gwinnett County,Georgia,13135,67331,57639,77536
Habersham County,Georgia,13137,2907,1616,4799
Hall County,Georgia,13139,16424,12289,20868
Hancock County,Georgia,13141,1640,666,2904
Haralson County,Georgia,13143,1676,907,2785
Harris County,Georgia,13145,4135,2722,5748
Hart County,Georgia,13147,2112,1089,3478
Heard County,Georgia,13149,787,422,1327
Henry County,Georgia,13151,19823,15598,24722
Houston County,Georgia,13153,15965,11687,21090
Irwin County,Georgia,13155,1049,490,1896
Jackson County,Georgia,13157,4453,2960,6293
Jasper County,Georgia,13159,1343,722,2430
Jeff Davis County,Georgia,13161,2143,1150,3427
Jefferson County,Georgia,13163,2623,1566,4094
Jenkins County,Georgia,13165,843,420,1545
Johnson County,Georgia,13167,1739,869,2872
Jones County,Georgia,13169,5078,3394,7179
Lamar County,Georgia,13171,2328,1167,3923
Lanier County,Georgia,13173,1747,941,2791
Laurens County,Georgia,13175,6028,4537,7680
Lee County,Georgia,13177,3237,1789,5206
Liberty County,Georgia,13179,5475,3634,8192
Lincoln County,Georgia,13181,1153,688,1909
Long County,Georgia,13183,1424,760,2449
Lowndes County,Georgia,13185,14033,11001,17566
Lumpkin County,Georgia,13187,3276,1458,6095
Macon County,Georgia,13193,1653,995,2558
Madison County,Georgia,13195,3407,1971,5449
Marion County,Georgia,13197,902,453,1699
Mcduffie County,Georgia,13189,2436,1155,4062
Mcintosh County,Georgia,13191,2034,1283,3241
Meriwether County,Georgia,13199,2991,1555,4944
Miller County,Georgia,13201,558,230,1067
Mitchell County,Georgia,13205,1588,684,3258
Monroe County,Georgia,13207,3121,1808,5401
Montgomery County,Georgia,13209,939,403,1688
Morgan County,Georgia,13211,2009,1067,3295
Murray County,Georgia,13213,4693,2901,6927
Muscogee County,Georgia,13215,20684,16776,25300
Newton County,Georgia,13217,13310,9448,17823
Oconee County,Georgia,13219,2643,1449,4368
Oglethorpe County,Georgia,13221,1219,641,2185
Paulding County,Georgia,13223,10780,7038,15330
Peach County,Georgia,13225,3103,1595,5182
Pickens County,Georgia,13227,4246,2536,6480
Pierce County,Georgia,13229,1649,949,2826
Pike County,Georgia,13231,1925,819,3906
Polk County,Georgia,13233,5180,3177,7968
Pulaski County,Georgia,13235,1504,912,2325
Putnam County,Georgia,13237,2570,1520,3926
Quitman County,Georgia,13239,215,99,380
Rabun County,Georgia,13241,1666,932,2690
Randolph County,Georgia,13243,1291,699,2179
Richmond County,Georgia,13245,20237,16222,25016
Rockdale County,Georgia,13247,10182,6757,14203
Schley County,Georgia,13249,759,403,1316
Screven County,Georgia,13251,1537,874,2545
Seminole County,Georgia,13253,639,361,1061
Spalding County,Georgia,13255,6593,4487,9202
Stephens County,Georgia,13257,2999,1772,4503
Stewart County,Georgia,13259,671,271,1486
Sumter County,Georgia,13261,5239,3461,7401
Talbot County,Georgia,13263,1294,635,2131
Taliaferro County,Georgia,13265,172,39,568
Tattnall County,Georgia,13267,4026,2498,6189
Taylor County,Georgia,13269,901,362,1663
Telfair County,Georgia,13271,3348,1793,5779
Terrell County,Georgia,13273,857,413,1555
Thomas County,Georgia,13275,3885,2400,5711
Tift County,Georgia,13277,2862,1870,4251
Toombs County,Georgia,13279,3560,2149,5521
Towns County,Georgia,13281,1079,602,1692
Treutlen County,Georgia,13283,353,142,673
Troup County,Georgia,13285,6385,3962,9397
Turner County,Georgia,13287,1134,576,2102
Twiggs County,Georgia,13289,980,420,1857
Union County,Georgia,13291,2303,1290,3541
Upson County,Georgia,13293,1747,960,2874
Walker County,Georgia,13295,9525,7049,12657
Walton County,Georgia,13297,7419,5137,9974
Ware County,Georgia,13299,3563,2347,4957
Warren County,Georgia,13301,889,376,1509
Washington County,Georgia,13303,2867,1683,4610
Wayne County,Georgia,13305,3331,1592,5419
Webster County,Georgia,13307,400,173,806
Wheeler County,Georgia,13309,761,346,1376
White County,Georgia,13311,3332,1932,5316
Whitfield County,Georgia,13313,10845,8040,14128
Wilcox County,Georgia,13315,1538,867,2508
Wilkes County,Georgia,13317,1651,959,2622
Wilkinson County,Georgia,13319,491,247,897
Worth County,Georgia,13321,3562,2041,5664
Hawaii County,Hawaii,15001,16949,15716,18271
Honolulu County,Hawaii,15003,85495,81720,89321
Kalawao County,Hawaii,15005,10,3,23
Kauai County,Hawaii,15007,5601,5036,6197
Maui County,Hawaii,15009,13043,12018,14130
Ada County,Idaho,16001,25465,21900,29217
Adams County,Idaho,16003,501,287,801
Bannock County,Idaho,16005,6568,5455,7795
Bear Lake County,Idaho,16007,471,288,750
Benewah County,Idaho,16009,891,564,1354
Bingham County,Idaho,16011,3213,2542,4037
Blaine County,Idaho,16013,989,613,1434
Boise County,Idaho,16015,844,558,1175
Bonner County,Idaho,16017,3405,2603,4301
Bonneville County,Idaho,16019,7589,6367,8930
Boundary County,Idaho,16021,806,488,1223
Butte County,Idaho,16023,196,113,310
Camas County,Idaho,16025,65,29,140
Canyon County,Idaho,16027,15421,13306,17816
Caribou County,Idaho,16029,678,417,1008
Cassia County,Idaho,16031,1832,1316,2486
Clark County,Idaho,16033,37,16,69
Clearwater County,Idaho,16035,1000,709,1347
Custer County,Idaho,16037,301,180,452
Elmore County,Idaho,16039,1887,1172,2917
Franklin County,Idaho,16041,660,424,964
Fremont County,Idaho,16043,856,575,1302
Gem County,Idaho,16045,1656,1136,2274
Gooding County,Idaho,16047,905,586,1247
Idaho County,Idaho,16049,1285,1014,1624
Jefferson County,Idaho,16051,1736,1237,2320
Jerome County,Idaho,16053,1412,918,2045
Kootenai County,Idaho,16055,10676,9131,12348
Latah County,Idaho,16057,1980,1507,2582
Lemhi County,Idaho,16059,738,508,1046
Lewis County,Idaho,16061,315,199,492
Lincoln County,Idaho,16063,367,210,599
Madison County,Idaho,16065,1813,1282,2578
Minidoka County,Idaho,16067,1927,1372,2578
Nez Perce County,Idaho,16069,3213,2598,3918
Oneida County,Idaho,16071,353,226,519
Owyhee County,Idaho,16073,1280,852,1863
Payette County,Idaho,16075,1801,1226,2538
Power County,Idaho,16077,569,336,924
Shoshone County,Idaho,16079,1040,652,1548
Teton County,Idaho,16081,421,241,664
Twin Falls County,Idaho,16083,6144,4923,7413
Valley County,Idaho,16085,541,308,871
Washington County,Idaho,16087,800,528,1132
Adams County,Illinois,17001,6647,4243,9809
Alexander County,Illinois,17003,247,99,492
Bond County,Illinois,17005,959,406,2138
Boone County,Illinois,17007,3586,2157,5616
Brown County,Illinois,17009,441,155,1174
Bureau County,Illinois,17011,3573,1956,5607
Calhoun County,Illinois,17013,388,185,800
Carroll County,Illinois,17015,1140,528,2311
Cass County,Illinois,17017,638,300,1112
Champaign County,Illinois,17019,14721,10475,19541
Christian County,Illinois,17021,2750,1412,4544
Clark County,Illinois,17023,1322,665,2417
Clay County,Illinois,17025,1449,664,3164
Clinton County,Illinois,17027,1987,966,3918
Coles County,Illinois,17029,5024,2867,8162
