Physical Inactivity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 5-October-2020
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Juneau City and Borough,Alaska,02110,4304,3521,5189
Kenai Peninsula Borough,Alaska,02122,9313,8148,10529
Ketchikan Gateway Borough,Alaska,02130,2090,1666,2582
Kodiak Island Borough,Alaska,02150,2387,1877,2941
Kusilvak Census Area,Alaska,02158,1222,819,1669
Lake and Peninsula Borough,Alaska,02164,298,200,402
Matanuska-Susitna Borough,Alaska,02170,15179,13529,16842
Nome Census Area,Alaska,02180,1226,926,1579
North Slope Borough,Alaska,02185,2326,1830,2864
Northwest Arctic Borough,Alaska,02188,1156,802,1542
Petersburg Census Area,Alaska,02195,577,386,795
Prince of Wales - Outer Ketchikan,Alaska,02201,No Data,No Data,No Data
Prince of Wales-Hyder Censu,Alaska,02198,941,647,1288
Sitka City and Borough,Alaska,02220,1195,775,1660
Skagway Municipality,Alaska,02230,171,98,262
Skagway-Hoonah-Angoon,Alaska,02232,No Data,No Data,No Data
Southeast Fairbanks Census Area,Alaska,02240,970,765,1195
Valdez-Cordova Census Area,Alaska,02261,1527,1219,1883
Wade Hampton Census Area,Alaska,02270,No Data,No Data,No Data
Wrangell City and Borough,Alaska,02275,553,362,754
Wrangell-Petersburg Census Area,Alaska,02280,No Data,No Data,No Data
Yakutat City and Borough,Alaska,02282,154,88,237
Yukon-Koyukuk Census Area,Alaska,02290,944,770,1145
Apache County,Arizona,04001,12871,11804,14050
Cochise County,Arizona,04003,22993,20634,25563
Coconino County,Arizona,04005,17039,15031,19151
Gila County,Arizona,04007,11058,10144,12004
Graham County,Arizona,04009,5977,4774,7397
Greenlee County,Arizona,04011,1253,828,1748
La Paz County,Arizona,04012,6444,5130,7727
Maricopa County,Arizona,04013,626756,603722,650451
Mohave County,Arizona,04015,53910,49472,58214
Navajo County,Arizona,04017,20684,18846,22381
Pima County,Arizona,04019,150773,141780,160453
Pinal County,Arizona,04021,91119,84051,98076
Santa Cruz County,Arizona,04023,5800,4141,7774
Yavapai County,Arizona,04025,41716,38123,45333
Yuma County,Arizona,04027,36482,31399,42087
Arkansas County,Arkansas,05001,5273,4284,6314
Ashley County,Arkansas,05003,6735,5496,7906
Baxter County,Arkansas,05005,9932,8409,11534
Benton County,Arkansas,05007,42882,37938,48540
Boone County,Arkansas,05009,9137,7637,10893
Bradley County,Arkansas,05011,3008,2059,3904
Calhoun County,Arkansas,05013,1635,1164,2160
Carroll County,Arkansas,05015,7150,5771,8752
Chicot County,Arkansas,05017,2814,2244,3434
Clark County,Arkansas,05019,6414,4992,7770
Clay County,Arkansas,05021,3957,3063,4890
Cleburne County,Arkansas,05023,6511,5030,8126
Cleveland County,Arkansas,05025,2080,1564,2646
Columbia County,Arkansas,05027,6460,5192,7741
Conway County,Arkansas,05029,5393,4143,6725
Craighead County,Arkansas,05031,25715,22370,29515
Crawford County,Arkansas,05033,13413,10754,16005
Crittenden County,Arkansas,05035,13481,11598,15697
Cross County,Arkansas,05037,4609,3547,5738
Dallas County,Arkansas,05039,2670,2028,3276
Desha County,Arkansas,05041,2939,2186,3704
Drew County,Arkansas,05043,4355,3348,5444
Faulkner County,Arkansas,05045,24664,20880,28870
Franklin County,Arkansas,05047,4337,3105,5649
Fulton County,Arkansas,05049,3094,2336,3876
Garland County,Arkansas,05051,22229,18970,25679
Grant County,Arkansas,05053,5113,3840,6300
Greene County,Arkansas,05055,11445,9001,13800
Hempstead County,Arkansas,05057,4968,3674,6335
Hot Spring County,Arkansas,05059,7960,6424,9728
Howard County,Arkansas,05061,4045,3097,4967
Independence County,Arkansas,05063,8965,7223,10794
Izard County,Arkansas,05065,3134,2391,3964
Jackson County,Arkansas,05067,3597,2530,4838
Jefferson County,Arkansas,05069,17256,15134,19562
Johnson County,Arkansas,05071,6002,4712,7380
Lafayette County,Arkansas,05073,1745,1234,2359
Lawrence County,Arkansas,05075,3410,2392,4544
Lee County,Arkansas,05077,2354,1824,2970
Lincoln County,Arkansas,05079,3994,3046,5070
Little River County,Arkansas,05081,3258,2374,4116
Logan County,Arkansas,05083,6158,4834,7540
Lonoke County,Arkansas,05085,16398,13711,19411
Madison County,Arkansas,05087,3603,2758,4547
Marion County,Arkansas,05089,3906,3003,4834
Miller County,Arkansas,05091,10312,8317,12258
Mississippi County,Arkansas,05093,10865,9024,12721
Monroe County,Arkansas,05095,1764,1141,2516
Montgomery County,Arkansas,05097,1898,1325,2550
Nevada County,Arkansas,05099,2884,2098,3604
Newton County,Arkansas,05101,1766,1269,2380
Ouachita County,Arkansas,05103,6005,4865,7126
Perry County,Arkansas,05105,2310,1596,3014
Phillips County,Arkansas,05107,4802,4106,5656
Pike County,Arkansas,05109,2606,1976,3305
Poinsett County,Arkansas,05111,5845,4398,7431
Polk County,Arkansas,05113,4462,3477,5529
Pope County,Arkansas,05115,13634,11511,15935
Prairie County,Arkansas,05117,3234,2469,4058
Pulaski County,Arkansas,05119,78161,71507,84252
Randolph County,Arkansas,05121,4866,3753,6197
Saline County,Arkansas,05125,23482,19906,27550
Scott County,Arkansas,05127,2910,2160,3804
Searcy County,Arkansas,05129,1866,1378,2404
Sebastian County,Arkansas,05131,28627,25027,32669
Sevier County,Arkansas,05133,4271,3401,5180
Sharp County,Arkansas,05135,5184,4063,6409
St. Francis County,Arkansas,05123,6141,5086,7235
Stone County,Arkansas,05137,3429,2696,4221
Union County,Arkansas,05139,10913,9164,12786
Van Buren County,Arkansas,05141,3588,2864,4425
Washington County,Arkansas,05143,43811,38790,48984
White County,Arkansas,05145,19873,16452,23263
Woodruff County,Arkansas,05147,1888,1230,2526
Yell County,Arkansas,05149,5669,4403,7093
Alameda County,California,06001,185686,163113,209162
Alpine County,California,06003,178,106,277
Amador County,California,06005,7814,5587,10563
Butte County,California,06007,40476,33003,48972
Calaveras County,California,06009,9947,6839,13503
Colusa County,California,06011,3959,2405,5698
Contra Costa County,California,06013,137964,120176,156329
Del Norte County,California,06015,6885,4423,9600
El Dorado County,California,06017,26729,20347,33933
Fresno County,California,06019,153684,132197,176952
Glenn County,California,06021,4236,2692,6116
Humboldt County,California,06023,17079,12467,22016
Imperial County,California,06025,33902,23623,45988
Inyo County,California,06027,3749,2426,5177
Kern County,California,06029,151928,129921,174569
Kings County,California,06031,25512,18454,34842
Lake County,California,06033,11548,7984,15780
Lassen County,California,06035,8438,5483,11578
Los Angeles County,California,06037,1262753,1188238,1341967
Madera County,California,06039,32460,24902,41413
Marin County,California,06041,26568,19666,34799
Mariposa County,California,06043,2571,1586,3793
Mendocino County,California,06045,11007,7642,15085
Merced County,California,06047,49601,38860,61038
Modoc County,California,06049,1702,1058,2468
Mono County,California,06051,1539,823,2454
Monterey County,California,06053,58688,46807,72631
Napa County,California,06055,18879,13877,24914
Nevada County,California,06057,11123,7627,15143
Orange County,California,06059,347792,307522,388625
Placer County,California,06061,39924,31736,49421
Plumas County,California,06063,3537,2124,5177
Riverside County,California,06065,337107,299541,377385
Sacramento County,California,06067,224126,203810,245825
San Benito County,California,06069,11161,7389,15691
San Bernardino County,California,06071,335632,300498,372895
San Diego County,California,06073,372845,339168,408626
San Francisco County,California,06075,108968,90876,127678
San Joaquin County,California,06077,132852,114442,151366
San Luis Obispo County,California,06079,34346,26654,43421
San Mateo County,California,06081,92658,74838,109580
Santa Barbara County,California,06083,45558,35959,56289
Santa Clara County,California,06085,230674,204540,258131
Santa Cruz County,California,06087,23037,16392,30324
Shasta County,California,06089,23358,17236,29498
Sierra County,California,06091,647,387,955
Siskiyou County,California,06093,8543,5928,11759
Solano County,California,06095,75001,62429,88437
Sonoma County,California,06097,61529,50974,72171
Stanislaus County,California,06099,89027,73688,107376
Sutter County,California,06101,20317,15244,25639
Tehama County,California,06103,13187,9291,17084
Trinity County,California,06105,2230,1242,3406
Tulare County,California,06107,80388,64837,97092
Tuolumne County,California,06109,9807,6591,13546
Ventura County,California,06111,114228,96016,132634
Yolo County,California,06113,23334,17312,29647
Yuba County,California,06115,17063,12317,22061
Adams County,Colorado,08001,66302,60360,72694
Alamosa County,Colorado,08003,2397,1691,3169
Arapahoe County,Colorado,08005,76608,70039,83629
Archuleta County,Colorado,08007,1278,814,1826
Baca County,Colorado,08009,775,534,1061
Bent County,Colorado,08011,1154,797,1587
Boulder County,Colorado,08013,21901,18855,25107
Broomfield County,Colorado,08014,6144,4627,7782
Chaffee County,Colorado,08015,2537,1831,3375
Cheyenne County,Colorado,08017,334,216,470
Clear Creek County,Colorado,08019,1127,703,1600
Conejos County,Colorado,08021,1310,909,1738
Costilla County,Colorado,08023,747,480,1048
Crowley County,Colorado,08025,1366,842,1913
Custer County,Colorado,08027,814,558,1126
Delta County,Colorado,08029,4382,3351,5420
Denver County,Colorado,08031,69747,63521,75675
Dolores County,Colorado,08033,268,153,409
Douglas County,Colorado,08035,21343,18435,24731
Eagle County,Colorado,08037,4844,3539,6256
El Paso County,Colorado,08041,79485,72343,86326
Elbert County,Colorado,08039,3330,2572,4176
Fremont County,Colorado,08043,8095,6657,9643
Garfield County,Colorado,08045,7112,5576,8726
Gilpin County,Colorado,08047,738,424,1101
Grand County,Colorado,08049,1699,1103,2357
Gunnison County,Colorado,08051,1579,1034,2254
Hinsdale County,Colorado,08053,138,79,216
Huerfano County,Colorado,08055,1241,897,1652
Jackson County,Colorado,08057,321,207,460
Jefferson County,Colorado,08059,59364,54325,65526
Kiowa County,Colorado,08061,308,207,434
Kit Carson County,Colorado,08063,1121,805,1457
La Plata County,Colorado,08067,5841,4618,7166
Lake County,Colorado,08065,966,572,1430
Larimer County,Colorado,08069,30545,26652,34547
Las Animas County,Colorado,08071,3028,2335,3785
Lincoln County,Colorado,08073,1063,742,1469
Logan County,Colorado,08075,3753,2999,4631
Mesa County,Colorado,08077,17072,14600,19659
Mineral County,Colorado,08079,115,66,172
Moffat County,Colorado,08081,2013,1513,2582
Montezuma County,Colorado,08083,3916,3019,4856
Montrose County,Colorado,08085,6020,4670,7452
Morgan County,Colorado,08087,4355,3462,5399
Otero County,Colorado,08089,3213,2449,4036
Ouray County,Colorado,08091,665,426,980
Park County,Colorado,08093,2566,1823,3474
Phillips County,Colorado,08095,729,516,990
Pitkin County,Colorado,08097,1833,1179,2609
Prowers County,Colorado,08099,1774,1316,2262
Pueblo County,Colorado,08101,28815,25009,32709
Rio Blanco County,Colorado,08103,854,559,1212
Rio Grande County,Colorado,08105,1949,1438,2549
Routt County,Colorado,08107,2066,1432,2826
Saguache County,Colorado,08109,1334,932,1797
San Juan County,Colorado,08111,115,64,183
San Miguel County,Colorado,08113,1005,583,1611
Sedgwick County,Colorado,08115,494,340,667
Summit County,Colorado,08117,2593,1812,3616
Teller County,Colorado,08119,2921,2155,3881
Washington County,Colorado,08121,1049,749,1375
Weld County,Colorado,08123,40091,36375,44495
Yuma County,Colorado,08125,1527,1119,2006
Fairfield County,Connecticut,09001,121430,114935,128254
Hartford County,Connecticut,09003,142237,136111,149238
Litchfield County,Connecticut,09005,27463,24798,30246
Middlesex County,Connecticut,09007,23694,21081,26183
New Haven County,Connecticut,09009,142171,135338,149039
New London County,Connecticut,09011,42720,39653,45956
Tolland County,Connecticut,09013,20755,18729,22802
Windham County,Connecticut,09015,21451,19574,23386
Kent County,Delaware,10001,40417,38491,42529
New Castle County,Delaware,10003,103783,98780,109101
Sussex County,Delaware,10005,55046,52425,57643
District Of Columbia,District of Columbia,11001,95683,91819,99497
Alachua County,Florida,12001,47937,43037,53052
Baker County,Florida,12003,7031,6274,7827
Bay County,Florida,12005,43557,40019,46904
Bradford County,Florida,12007,7393,6762,8096
Brevard County,Florida,12009,125226,113754,138215
Broward County,Florida,12011,350852,315601,385737
Calhoun County,Florida,12013,4647,4293,5045
Charlotte County,Florida,12015,41024,37480,44678
Citrus County,Florida,12017,43461,39843,47363
Clay County,Florida,12019,46408,42155,50811
Collier County,Florida,12021,68957,61189,76868
Columbia County,Florida,12023,19447,18105,20865
Desoto County,Florida,12027,10443,9471,11486
Dixie County,Florida,12029,5768,5305,6204
Duval County,Florida,12031,188117,174770,201570
Escambia County,Florida,12033,68068,62349,74307
Flagler County,Florida,12035,23378,20910,25936
Franklin County,Florida,12037,3046,2735,3390
Gadsden County,Florida,12039,12324,11210,13460
Gilchrist County,Florida,12041,4777,4234,5313
Glades County,Florida,12043,3941,3393,4470
Gulf County,Florida,12045,4262,3832,4688
Hamilton County,Florida,12047,4179,3775,4562
Hardee County,Florida,12049,6950,6193,7797
Hendry County,Florida,12051,10135,8979,11376
Hernando County,Florida,12053,46329,42112,50951
Highlands County,Florida,12055,28789,26523,31249
Hillsborough County,Florida,12057,246048,224048,268652
Holmes County,Florida,12059,5676,5176,6184
Indian River County,Florida,12061,32237,28735,35606
Jackson County,Florida,12063,14248,13225,15237
Jefferson County,Florida,12065,2987,2606,3427
Lafayette County,Florida,12067,2210,1929,2521
Lake County,Florida,12069,77354,70302,84827
Lee County,Florida,12071,145217,131813,159230
Leon County,Florida,12073,47974,43184,52606
Levy County,Florida,12075,11609,10657,12605
Liberty County,Florida,12077,2452,2186,2730
Madison County,Florida,12079,4791,4367,5238
Manatee County,Florida,12081,76922,68971,84966
Marion County,Florida,12083,92334,85013,99295
Martin County,Florida,12085,29345,26053,32681
Miami-Dade County,Florida,12086,486122,438089,542176
Monroe County,Florida,12087,14594,12810,16527
Nassau County,Florida,12089,15536,13835,17474
Okaloosa County,Florida,12091,45111,41151,49476
Okeechobee County,Florida,12093,11521,10384,12635
Orange County,Florida,12095,245422,223557,268359
Osceola County,Florida,12097,75488,67387,84526
Palm Beach County,Florida,12099,308742,280096,337280
Pasco County,Florida,12101,121462,110354,132413
Pinellas County,Florida,12103,184784,166660,203392
Polk County,Florida,12105,149325,136900,162641
Putnam County,Florida,12107,21067,19266,22850
Santa Rosa County,Florida,12113,38732,35180,42367
Sarasota County,Florida,12115,79412,70966,87369
Seminole County,Florida,12117,77315,67907,86153
St. Johns County,Florida,12109,39915,35927,44372
St. Lucie County,Florida,12111,70863,64138,77333
Sumter County,Florida,12119,26008,22582,29347
Suwannee County,Florida,12121,12371,11346,13397
Taylor County,Florida,12123,5899,5478,6328
Union County,Florida,12125,3862,3411,4370
Volusia County,Florida,12127,123405,112379,133761
Wakulla County,Florida,12129,7406,6539,8271
Walton County,Florida,12131,16631,15110,18204
Washington County,Florida,12133,6698,6127,7306
Appling County,Georgia,13001,5565,4264,7092
Atkinson County,Georgia,13003,1729,1142,2407
Bacon County,Georgia,13005,3034,2046,4091
Baker County,Georgia,13007,649,326,1066
Baldwin County,Georgia,13009,8773,6104,11563
Banks County,Georgia,13011,5044,3472,6798
Barrow County,Georgia,13013,13081,9673,17207
Bartow County,Georgia,13015,22969,18234,27929
Ben Hill County,Georgia,13017,5073,3808,6350
Berrien County,Georgia,13019,4017,2779,5381
Bibb County,Georgia,13021,34165,28728,40265
Bleckley County,Georgia,13023,3179,2336,4127
Brantley County,Georgia,13025,4283,2864,5777
Brooks County,Georgia,13027,3274,2310,4444
Bryan County,Georgia,13029,7355,5137,9833
Bulloch County,Georgia,13031,11195,8485,14063
Burke County,Georgia,13033,5092,3368,6876
Butts County,Georgia,13035,4916,2844,7435
Calhoun County,Georgia,13037,2069,1306,2839
Camden County,Georgia,13039,11159,8787,13751
Candler County,Georgia,13043,2196,1451,3042
Carroll County,Georgia,13045,29668,24575,35054
Catoosa County,Georgia,13047,13165,9878,17014
Charlton County,Georgia,13049,3439,2272,4748
Chatham County,Georgia,13051,51165,43552,58588
Chattahoochee County,Georgia,13053,2080,1207,3226
Chattooga County,Georgia,13055,4442,2915,6318
Cherokee County,Georgia,13057,38101,31207,45903
Clarke County,Georgia,13059,20716,16242,25608
Clay County,Georgia,13061,974,684,1234
Clayton County,Georgia,13063,62333,54449,70510
Clinch County,Georgia,13065,1063,573,1725
Cobb County,Georgia,13067,117507,105471,130469
Coffee County,Georgia,13069,11028,8323,13761
Colquitt County,Georgia,13071,11684,9065,14652
Columbia County,Georgia,13073,29575,24404,35234
Cook County,Georgia,13075,4914,3673,6186
Coweta County,Georgia,13077,30455,24740,36776
Crawford County,Georgia,13079,3885,2876,5009
Crisp County,Georgia,13081,6188,4613,7877
Dade County,Georgia,13083,3882,2636,5217
Dawson County,Georgia,13085,4478,2971,6119
Decatur County,Georgia,13087,5668,4347,7219
Dekalb County,Georgia,13089,114006,101006,126803
Dodge County,Georgia,13091,4094,2831,5462
Dooly County,Georgia,13093,3388,2343,4592
Dougherty County,Georgia,13095,22695,18902,26774
Douglas County,Georgia,13097,25590,20210,31441
Early County,Georgia,13099,2101,1400,2959
Echols County,Georgia,13101,761,456,1115
Effingham County,Georgia,13103,13525,10196,17319
Elbert County,Georgia,13105,5707,4172,7299
Emanuel County,Georgia,13107,4716,3158,6558
Evans County,Georgia,13109,1955,1163,2856
Fannin County,Georgia,13111,6287,4633,7937
Fayette County,Georgia,13113,16885,12786,21340
Floyd County,Georgia,13115,23415,18954,28094
Forsyth County,Georgia,13117,27295,21717,34025
Franklin County,Georgia,13119,4536,2965,6408
Fulton County,Georgia,13121,160495,147995,174570
Gilmer County,Georgia,13123,7670,5594,9932
Glascock County,Georgia,13125,514,303,814
Glynn County,Georgia,13127,19388,15419,23805
Gordon County,Georgia,13129,14350,10932,17969
Grady County,Georgia,13131,6608,5005,8491
Greene County,Georgia,13133,4930,3488,6386
Gwinnett County,Georgia,13135,162807,146896,179315
Habersham County,Georgia,13137,8418,5954,11175
Hall County,Georgia,13139,35816,28949,42193
Hancock County,Georgia,13141,1683,1011,2571
Haralson County,Georgia,13143,5668,3814,7588
Harris County,Georgia,13145,5166,3465,7048
Hart County,Georgia,13147,5145,3447,7078
Heard County,Georgia,13149,2515,1576,3621
Henry County,Georgia,13151,39782,33001,46632
Houston County,Georgia,13153,29695,23920,35559
Irwin County,Georgia,13155,2245,1454,3170
Jackson County,Georgia,13157,15612,12211,19370
Jasper County,Georgia,13159,2874,1871,3978
Jeff Davis County,Georgia,13161,3160,1945,4515
Jefferson County,Georgia,13163,3439,2080,4882
Jenkins County,Georgia,13165,1503,876,2544
Johnson County,Georgia,13167,2980,2154,3938
Jones County,Georgia,13169,6353,4615,8674
Lamar County,Georgia,13171,4026,2447,5908
Lanier County,Georgia,13173,2978,2027,3970
Laurens County,Georgia,13175,12898,10892,15262
Lee County,Georgia,13177,4606,3042,6445
Liberty County,Georgia,13179,15106,12129,18479
Lincoln County,Georgia,13181,1850,1255,2613
Long County,Georgia,13183,4058,2904,5395
Lowndes County,Georgia,13185,24896,21058,28907
Lumpkin County,Georgia,13187,7193,4791,9868
Macon County,Georgia,13193,4432,3211,5582
Madison County,Georgia,13195,6500,4595,8625
Marion County,Georgia,13197,2158,1466,2890
Mcduffie County,Georgia,13189,5589,3766,7750
Mcintosh County,Georgia,13191,3382,2362,4678
Meriwether County,Georgia,13199,6118,4281,8057
Miller County,Georgia,13201,1316,803,1873
Mitchell County,Georgia,13205,5096,3602,6896
Monroe County,Georgia,13207,7787,5876,9724
Montgomery County,Georgia,13209,2166,1438,3058
Morgan County,Georgia,13211,3177,2046,4637
Murray County,Georgia,13213,9234,6541,12070
Muscogee County,Georgia,13215,38167,32837,43357
Newton County,Georgia,13217,23943,18768,29513
Oconee County,Georgia,13219,6465,4589,8578
Oglethorpe County,Georgia,13221,4501,3306,5831
Paulding County,Georgia,13223,28819,22801,35148
Peach County,Georgia,13225,7392,5278,9713
Pickens County,Georgia,13227,6590,4779,8485
Pierce County,Georgia,13229,5241,3865,6630
Pike County,Georgia,13231,3679,2398,5214
Polk County,Georgia,13233,9905,7135,12688
Pulaski County,Georgia,13235,3163,2137,4415
Putnam County,Georgia,13237,4702,3153,6327
Quitman County,Georgia,13239,496,283,765
Rabun County,Georgia,13241,3086,2008,4473
Randolph County,Georgia,13243,1253,667,1941
Richmond County,Georgia,13245,42483,36197,48566
Rockdale County,Georgia,13247,21365,16940,26152
Schley County,Georgia,13249,849,493,1301
Screven County,Georgia,13251,3874,2796,4989
Seminole County,Georgia,13253,1468,917,2103
Spalding County,Georgia,13255,17389,13512,21229
Stephens County,Georgia,13257,5806,3961,7766
Stewart County,Georgia,13259,1932,1052,2971
Sumter County,Georgia,13261,6453,4631,8455
Talbot County,Georgia,13263,1521,911,2464
Taliaferro County,Georgia,13265,361,157,677
Tattnall County,Georgia,13267,7251,5235,9238
Taylor County,Georgia,13269,2425,1572,3421
Telfair County,Georgia,13271,4770,3154,6377
Terrell County,Georgia,13273,2160,1357,3081
Thomas County,Georgia,13275,9862,7548,12673
Tift County,Georgia,13277,9762,7635,12084
Toombs County,Georgia,13279,6830,5069,8631
Towns County,Georgia,13281,2352,1463,3313
Treutlen County,Georgia,13283,1516,944,2144
Troup County,Georgia,13285,15910,11852,20800
Turner County,Georgia,13287,2328,1507,3130
Twiggs County,Georgia,13289,1981,1147,3158
Union County,Georgia,13291,5203,3612,6991
Upson County,Georgia,13293,6481,4807,8362
Walker County,Georgia,13295,18566,15059,22569
Walton County,Georgia,13297,21585,17590,25940
Ware County,Georgia,13299,9791,7545,12156
Warren County,Georgia,13301,895,475,1575
Washington County,Georgia,13303,5661,3929,7653
Wayne County,Georgia,13305,6485,4549,8459
Webster County,Georgia,13307,406,217,692
Wheeler County,Georgia,13309,2222,1316,3012
White County,Georgia,13311,5150,3422,7125
Whitfield County,Georgia,13313,24609,20210,29414
Wilcox County,Georgia,13315,2823,1976,3627
Wilkes County,Georgia,13317,2230,1359,3257
Wilkinson County,Georgia,13319,1981,1222,3014
Worth County,Georgia,13321,5215,3567,6849
Hawaii County,Hawaii,15001,30283,28490,31939
Honolulu County,Hawaii,15003,151001,145308,157030
Kalawao County,Hawaii,15005,18,10,31
Kauai County,Hawaii,15007,10026,9208,10842
Maui County,Hawaii,15009,22434,20925,23894
Ada County,Idaho,16001,51303,45798,57498
Adams County,Idaho,16003,643,408,906
Bannock County,Idaho,16005,13073,11486,14803
Bear Lake County,Idaho,16007,1102,814,1436
Benewah County,Idaho,16009,1901,1426,2426
Bingham County,Idaho,16011,7074,5909,8285
Blaine County,Idaho,16013,2383,1733,3053
Boise County,Idaho,16015,1469,1082,1882
Bonner County,Idaho,16017,6615,5476,7901
Bonneville County,Idaho,16019,15167,13413,17076
Boundary County,Idaho,16021,2424,1808,3093
Butte County,Idaho,16023,541,381,718
Camas County,Idaho,16025,210,128,310
Canyon County,Idaho,16027,35391,31978,39051
Caribou County,Idaho,16029,960,636,1319
Cassia County,Idaho,16031,4037,3228,4857
Clark County,Idaho,16033,152,91,233
Clearwater County,Idaho,16035,1702,1304,2142
Custer County,Idaho,16037,737,537,972
Elmore County,Idaho,16039,4464,3217,5781
Franklin County,Idaho,16041,2118,1644,2633
Fremont County,Idaho,16043,2374,1760,3004
Gem County,Idaho,16045,3880,3017,4785
Gooding County,Idaho,16047,2934,2236,3678
Idaho County,Idaho,16049,3042,2566,3521
Jefferson County,Idaho,16051,3690,2889,4516
Jerome County,Idaho,16053,4178,3263,5191
Kootenai County,Idaho,16055,22657,19979,25357
Latah County,Idaho,16057,4443,3582,5355
Lemhi County,Idaho,16059,1476,1118,1875
Lewis County,Idaho,16061,692,507,913
Lincoln County,Idaho,16063,1053,750,1433
Madison County,Idaho,16065,4098,3104,5135
Minidoka County,Idaho,16067,3890,3145,4754
Nez Perce County,Idaho,16069,6607,5586,7596
Oneida County,Idaho,16071,775,545,1027
Owyhee County,Idaho,16073,2192,1632,2802
Payette County,Idaho,16075,4678,3758,5657
Power County,Idaho,16077,1281,930,1684
Shoshone County,Idaho,16079,2220,1627,2925
Teton County,Idaho,16081,1435,944,1976
Twin Falls County,Idaho,16083,15490,13681,17546
Valley County,Idaho,16085,1657,1116,2357
Washington County,Idaho,16087,2171,1666,2739
Adams County,Illinois,17001,14426,10048,19204
Alexander County,Illinois,17003,867,530,1318
Bond County,Illinois,17005,2929,1651,4543
Boone County,Illinois,17007,10138,7242,13370
