Obesity; Total (Total); Adults Aged 20+ Years; Crude Number; U.S. Counties; 2017
Data downloaded on 5-October-2020
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Inyo County,California,06027,3769,2420,5325
Kern County,California,06029,189397,165201,215467
Kings County,California,06031,35687,26803,45537
Lake County,California,06033,11105,7932,14964
Lassen County,California,06035,8241,5214,11701
Los Angeles County,California,06037,1686908,1593248,1782699
Madera County,California,06039,40058,31574,48844
Marin County,California,06041,35619,27211,44432
Mariposa County,California,06043,2235,1199,3580
Mendocino County,California,06045,20318,15850,25180
Merced County,California,06047,60534,48794,73849
Modoc County,California,06049,1793,1073,2732
Mono County,California,06051,3215,2061,4608
Monterey County,California,06053,76800,61431,92598
Napa County,California,06055,25860,19204,32780
Nevada County,California,06057,14559,10213,19354
Orange County,California,06059,475493,435809,519180
Placer County,California,06061,58759,48197,69297
Plumas County,California,06063,3594,2147,5218
Riverside County,California,06065,491250,446615,540364
Sacramento County,California,06067,337042,311350,363847
San Benito County,California,06069,15357,11133,19784
San Bernardino County,California,06071,467807,423752,508911
San Diego County,California,06073,510455,468931,551683
San Francisco County,California,06075,126630,106208,149014
San Joaquin County,California,06077,184302,163369,207474
San Luis Obispo County,California,06079,62896,52240,74222
San Mateo County,California,06081,136387,116313,158175
Santa Barbara County,California,06083,78832,63933,94145
Santa Clara County,California,06085,290513,259628,322369
Santa Cruz County,California,06087,40298,30635,50516
Shasta County,California,06089,36442,29676,43951
Sierra County,California,06091,475,260,779
Siskiyou County,California,06093,11747,8379,15276
Solano County,California,06095,97729,82320,113564
Sonoma County,California,06097,93470,79002,107916
Stanislaus County,California,06099,120659,102128,139454
Sutter County,California,06101,20508,15969,26060
Tehama County,California,06103,16326,12549,20508
Trinity County,California,06105,2995,1748,4496
Tulare County,California,06107,113894,94831,132874
Tuolumne County,California,06109,13084,9047,17272
Ventura County,California,06111,127782,108647,149721
Yolo County,California,06113,38797,31749,46489
Yuba County,California,06115,15811,11828,20534
Adams County,Colorado,08001,101897,94359,109599
Alamosa County,Colorado,08003,3572,2691,4533
Arapahoe County,Colorado,08005,108500,100697,115766
Archuleta County,Colorado,08007,2574,1862,3330
Baca County,Colorado,08009,846,573,1144
Bent County,Colorado,08011,1610,1102,2150
Boulder County,Colorado,08013,35284,31256,39612
Broomfield County,Colorado,08014,9890,8072,11981
Chaffee County,Colorado,08015,2667,1915,3529
Cheyenne County,Colorado,08017,319,206,446
Clear Creek County,Colorado,08019,1684,1124,2339
Conejos County,Colorado,08021,1571,1147,2081
Costilla County,Colorado,08023,738,477,1028
Crowley County,Colorado,08025,1475,881,2168
Custer County,Colorado,08027,858,539,1214
Delta County,Colorado,08029,5704,4555,7047
Denver County,Colorado,08031,95200,87303,103964
Dolores County,Colorado,08033,350,222,525
Douglas County,Colorado,08035,48007,43406,53152
Eagle County,Colorado,08037,6716,4972,8661
El Paso County,Colorado,08041,117075,109203,125899
Elbert County,Colorado,08039,4872,3881,5935
Fremont County,Colorado,08043,11772,9945,13690
Garfield County,Colorado,08045,10468,8545,12531
Gilpin County,Colorado,08047,1073,684,1533
Grand County,Colorado,08049,2242,1571,3078
Gunnison County,Colorado,08051,1871,1248,2583
Hinsdale County,Colorado,08053,150,88,227
Huerfano County,Colorado,08055,1440,1064,1825
Jackson County,Colorado,08057,268,155,407
Jefferson County,Colorado,08059,95055,88178,101625
Kiowa County,Colorado,08061,294,195,405
Kit Carson County,Colorado,08063,1655,1263,2093
La Plata County,Colorado,08067,7880,6305,9551
Lake County,Colorado,08065,1615,1102,2167
Larimer County,Colorado,08069,55019,50195,60678
Las Animas County,Colorado,08071,3529,2787,4321
Lincoln County,Colorado,08073,1297,914,1754
Logan County,Colorado,08075,6073,5143,7073
Mesa County,Colorado,08077,29408,26063,32923
Mineral County,Colorado,08079,113,58,183
Moffat County,Colorado,08081,1927,1394,2537
Montezuma County,Colorado,08083,5591,4473,6831
Montrose County,Colorado,08085,6361,4946,8047
Morgan County,Colorado,08087,7020,5787,8179
Otero County,Colorado,08089,4658,3762,5559
Ouray County,Colorado,08091,816,512,1149
Park County,Colorado,08093,2756,1977,3710
Phillips County,Colorado,08095,991,750,1245
Pitkin County,Colorado,08097,2194,1480,3033
Prowers County,Colorado,08099,3054,2476,3667
Pueblo County,Colorado,08101,38457,33893,43250
Rio Blanco County,Colorado,08103,1076,727,1467
Rio Grande County,Colorado,08105,2425,1825,3149
Routt County,Colorado,08107,3256,2313,4251
Saguache County,Colorado,08109,1376,941,1847
San Juan County,Colorado,08111,125,73,201
San Miguel County,Colorado,08113,1052,619,1610
Sedgwick County,Colorado,08115,457,298,630
Summit County,Colorado,08117,3941,2777,5284
Teller County,Colorado,08119,4544,3504,5682
Washington County,Colorado,08121,1085,787,1424
Weld County,Colorado,08123,62836,57752,68116
Yuma County,Colorado,08125,2178,1702,2732
Fairfield County,Connecticut,09001,149134,141573,156791
Hartford County,Connecticut,09003,185510,177754,193370
Litchfield County,Connecticut,09005,38580,35241,42064
Middlesex County,Connecticut,09007,34675,31907,37758
New Haven County,Connecticut,09009,189178,180840,197663
New London County,Connecticut,09011,63331,59608,67269
Tolland County,Connecticut,09013,30407,27755,32988
Windham County,Connecticut,09015,27708,25496,30143
Kent County,Delaware,10001,50226,47938,52586
New Castle County,Delaware,10003,126818,121082,132722
Sussex County,Delaware,10005,59440,56807,62423
District Of Columbia,District of Columbia,11001,131959,126783,136994
Alachua County,Florida,12001,55649,50141,61435
Baker County,Florida,12003,7969,7132,8864
Bay County,Florida,12005,42205,38686,46301
Bradford County,Florida,12007,7830,7093,8555
Brevard County,Florida,12009,134512,121900,147498
Broward County,Florida,12011,365178,326898,403661
Calhoun County,Florida,12013,4147,3790,4523
Charlotte County,Florida,12015,43289,39218,47410
Citrus County,Florida,12017,34899,31210,38477
Clay County,Florida,12019,52219,47500,57304
Collier County,Florida,12021,65948,57751,74851
Columbia County,Florida,12023,19471,18054,20923
Desoto County,Florida,12027,9150,8067,10268
Dixie County,Florida,12029,4402,3948,4861
Duval County,Florida,12031,225360,211960,239228
Escambia County,Florida,12033,69672,63221,76344
Flagler County,Florida,12035,23692,21176,26299
Franklin County,Florida,12037,3329,3000,3677
Gadsden County,Florida,12039,15181,13930,16476
Gilchrist County,Florida,12041,5124,4511,5776
Glades County,Florida,12043,4385,3809,4968
Gulf County,Florida,12045,4350,3866,4871
Hamilton County,Florida,12047,4489,4055,4906
Hardee County,Florida,12049,7625,6738,8502
Hendry County,Florida,12051,10182,8950,11490
Hernando County,Florida,12053,48073,43550,53024
Highlands County,Florida,12055,25636,23265,27993
Hillsborough County,Florida,12057,278000,253812,304345
Holmes County,Florida,12059,5429,4924,5945
Indian River County,Florida,12061,33573,29770,37384
Jackson County,Florida,12063,14162,13083,15306
Jefferson County,Florida,12065,4007,3523,4482
Lafayette County,Florida,12067,2248,1959,2527
Lake County,Florida,12069,85317,77781,92619
Lee County,Florida,12071,148202,133165,162635
Leon County,Florida,12073,68631,63254,74283
Levy County,Florida,12075,10561,9547,11624
Liberty County,Florida,12077,2629,2297,2928
Madison County,Florida,12079,5240,4792,5731
Manatee County,Florida,12081,80763,72570,89386
Marion County,Florida,12083,92081,84963,100225
Martin County,Florida,12085,25971,22248,29536
Miami-Dade County,Florida,12086,475815,418660,537301
Monroe County,Florida,12087,13390,11440,15362
Nassau County,Florida,12089,19164,17180,21129
Okaloosa County,Florida,12091,42186,37304,46633
Okeechobee County,Florida,12093,10623,9505,11788
Orange County,Florida,12095,274601,252322,296841
Osceola County,Florida,12097,81191,72229,90774
Palm Beach County,Florida,12099,256027,228292,285106
Pasco County,Florida,12101,127080,114729,138456
Pinellas County,Florida,12103,216725,195910,238043
Polk County,Florida,12105,188380,173911,204335
Putnam County,Florida,12107,21676,19896,23617
Santa Rosa County,Florida,12113,41013,37192,44666
Sarasota County,Florida,12115,75423,67690,84149
Seminole County,Florida,12117,93086,82507,103808
St. Johns County,Florida,12109,42837,38066,47533
St. Lucie County,Florida,12111,76177,68819,83394
Sumter County,Florida,12119,33796,30216,37462
Suwannee County,Florida,12121,13191,12148,14267
Taylor County,Florida,12123,6057,5586,6561
Union County,Florida,12125,4570,3978,5165
Volusia County,Florida,12127,137746,126003,148026
Wakulla County,Florida,12129,9753,8643,10830
Walton County,Florida,12131,16938,15231,18656
Washington County,Florida,12133,7236,6580,7918
Appling County,Georgia,13001,4612,3206,6172
Atkinson County,Georgia,13003,1769,1168,2420
Bacon County,Georgia,13005,3516,2390,4776
Baker County,Georgia,13007,895,494,1339
Baldwin County,Georgia,13009,13647,10347,17198
Banks County,Georgia,13011,4565,3129,6169
Barrow County,Georgia,13013,21884,17240,26770
Bartow County,Georgia,13015,22624,17948,27727
Ben Hill County,Georgia,13017,5201,3913,6507
Berrien County,Georgia,13019,5161,3799,6608
Bibb County,Georgia,13021,43351,36555,50588
Bleckley County,Georgia,13023,3806,2682,5118
Brantley County,Georgia,13025,4666,3311,6089
Brooks County,Georgia,13027,3637,2510,4961
Bryan County,Georgia,13029,9998,7676,12539
Bulloch County,Georgia,13031,20164,16553,23963
Burke County,Georgia,13033,6285,4323,8225
Butts County,Georgia,13035,7055,4106,9957
Calhoun County,Georgia,13037,1804,1034,2609
Camden County,Georgia,13039,14479,11572,17395
Candler County,Georgia,13043,4195,3153,5219
Carroll County,Georgia,13045,30600,25025,36668
Catoosa County,Georgia,13047,16012,12438,20106
Charlton County,Georgia,13049,3665,2410,5051
Chatham County,Georgia,13051,64988,56227,74540
Chattahoochee County,Georgia,13053,3234,2074,4334
Chattooga County,Georgia,13055,6407,4546,8393
Cherokee County,Georgia,13057,51099,42785,59701
Clarke County,Georgia,13059,23866,19155,28773
Clay County,Georgia,13061,927,615,1240
Clayton County,Georgia,13063,72668,64009,81717
Clinch County,Georgia,13065,2187,1408,2949
Cobb County,Georgia,13067,154578,140500,170534
Coffee County,Georgia,13069,10673,7895,13556
Colquitt County,Georgia,13071,12889,10219,15524
Columbia County,Georgia,13073,36430,30435,42728
Cook County,Georgia,13075,3584,2478,4730
Coweta County,Georgia,13077,32414,26246,39011
Crawford County,Georgia,13079,4201,2841,5507
Crisp County,Georgia,13081,6054,4180,8010
Dade County,Georgia,13083,4718,3474,6083
Dawson County,Georgia,13085,5318,3672,7087
Decatur County,Georgia,13087,5330,3987,6867
Dekalb County,Georgia,13089,151717,137565,167203
Dodge County,Georgia,13091,6829,5243,8412
Dooly County,Georgia,13093,4319,3023,5569
Dougherty County,Georgia,13095,25261,20457,30142
Douglas County,Georgia,13097,34446,28272,41248
Early County,Georgia,13099,3438,2352,4408
Echols County,Georgia,13101,955,572,1371
Effingham County,Georgia,13103,15179,11696,19085
Elbert County,Georgia,13105,6464,4707,8395
Emanuel County,Georgia,13107,6068,4326,7957
Evans County,Georgia,13109,3227,2107,4417
Fannin County,Georgia,13111,5933,4388,7749
Fayette County,Georgia,13113,23133,18169,28757
Floyd County,Georgia,13115,24498,19779,29453
Forsyth County,Georgia,13117,42172,34737,50273
Franklin County,Georgia,13119,4708,3000,6843
Fulton County,Georgia,13121,192607,176724,208557
Gilmer County,Georgia,13123,6002,4189,8119
Glascock County,Georgia,13125,694,409,1006
Glynn County,Georgia,13127,20543,16268,25363
Gordon County,Georgia,13129,13578,9946,17245
Grady County,Georgia,13131,6415,4779,8201
Greene County,Georgia,13133,4420,2970,5946
Gwinnett County,Georgia,13135,208231,190706,226341
Habersham County,Georgia,13137,10453,7743,13495
Hall County,Georgia,13139,45831,38371,54040
Hancock County,Georgia,13141,2127,1086,3397
Haralson County,Georgia,13143,5342,3607,7518
Harris County,Georgia,13145,7940,5781,10211
Hart County,Georgia,13147,6274,4123,8745
Heard County,Georgia,13149,3249,2271,4385
Henry County,Georgia,13151,55680,48295,63614
Houston County,Georgia,13153,40784,34050,47187
Irwin County,Georgia,13155,2484,1624,3425
Jackson County,Georgia,13157,13358,10127,16965
Jasper County,Georgia,13159,3612,2391,4891
Jeff Davis County,Georgia,13161,3978,2759,5309
Jefferson County,Georgia,13163,3260,2055,4655
Jenkins County,Georgia,13165,2356,1434,3373
Johnson County,Georgia,13167,3677,2589,4849
Jones County,Georgia,13169,7382,5394,9565
Lamar County,Georgia,13171,5139,3432,6944
Lanier County,Georgia,13173,2047,1288,2970
Laurens County,Georgia,13175,13237,11040,15748
Lee County,Georgia,13177,8422,5978,10848
Liberty County,Georgia,13179,16123,12946,19453
Lincoln County,Georgia,13181,1503,948,2220
Long County,Georgia,13183,4285,3075,5785
Lowndes County,Georgia,13185,29845,25357,34270
Lumpkin County,Georgia,13187,7689,5159,10317
Macon County,Georgia,13193,3152,2077,4584
Madison County,Georgia,13195,5362,3685,7140
Marion County,Georgia,13197,2001,1262,2859
Mcduffie County,Georgia,13189,6265,4099,8667
Mcintosh County,Georgia,13191,3555,2373,4842
Meriwether County,Georgia,13199,6585,4430,8659
Miller County,Georgia,13201,1046,530,1790
Mitchell County,Georgia,13205,6182,4061,8353
Monroe County,Georgia,13207,7603,5570,9949
Montgomery County,Georgia,13209,2078,1173,3048
Morgan County,Georgia,13211,4299,3034,6020
Murray County,Georgia,13213,10308,7728,13033
Muscogee County,Georgia,13215,53267,46901,59816
Newton County,Georgia,13217,30337,24627,36233
Oconee County,Georgia,13219,6624,4624,8805
Oglethorpe County,Georgia,13221,4271,2985,5716
Paulding County,Georgia,13223,41986,34759,49188
Peach County,Georgia,13225,8267,5777,10734
Pickens County,Georgia,13227,8409,6344,10661
Pierce County,Georgia,13229,4978,3504,6579
Pike County,Georgia,13231,5363,3836,7065
Polk County,Georgia,13233,12821,9892,15932
Pulaski County,Georgia,13235,4033,2999,5074
Putnam County,Georgia,13237,6086,4251,7790
Quitman County,Georgia,13239,539,256,885
Rabun County,Georgia,13241,5073,3666,6707
Randolph County,Georgia,13243,2018,1035,3039
Richmond County,Georgia,13245,54085,46738,61225
Rockdale County,Georgia,13247,29147,23394,34689
Schley County,Georgia,13249,1044,645,1581
Screven County,Georgia,13251,3395,2286,4616
Seminole County,Georgia,13253,2777,1896,3713
Spalding County,Georgia,13255,20163,15612,24261
Stephens County,Georgia,13257,7498,5601,9655
Stewart County,Georgia,13259,1691,827,2656
Sumter County,Georgia,13261,7935,5903,10179
Talbot County,Georgia,13263,1002,469,1859
Taliaferro County,Georgia,13265,166,69,366
Tattnall County,Georgia,13267,6966,4808,9165
Taylor County,Georgia,13269,2879,1895,3929
Telfair County,Georgia,13271,4059,2667,5691
Terrell County,Georgia,13273,2311,1254,3549
Thomas County,Georgia,13275,12078,9305,14946
Tift County,Georgia,13277,11105,8683,13749
Toombs County,Georgia,13279,8561,6525,10521
Towns County,Georgia,13281,2362,1527,3388
Treutlen County,Georgia,13283,1420,838,2095
Troup County,Georgia,13285,25576,20296,30229
Turner County,Georgia,13287,2284,1437,3166
Twiggs County,Georgia,13289,2420,1461,3459
Union County,Georgia,13291,5433,3813,7348
Upson County,Georgia,13293,4424,2850,6134
Walker County,Georgia,13295,18465,14976,22233
Walton County,Georgia,13297,21464,16886,26225
Ware County,Georgia,13299,8980,6726,11404
Warren County,Georgia,13301,2026,1122,2741
Washington County,Georgia,13303,5193,3239,7225
Wayne County,Georgia,13305,8845,6509,11126
Webster County,Georgia,13307,471,225,831
Wheeler County,Georgia,13309,2526,1727,3447
White County,Georgia,13311,5820,3980,7944
Whitfield County,Georgia,13313,24662,19966,29963
Wilcox County,Georgia,13315,2408,1591,3323
Wilkes County,Georgia,13317,3074,2036,4122
Wilkinson County,Georgia,13319,2276,1501,3249
Worth County,Georgia,13321,6804,4931,8812
Hawaii County,Hawaii,15001,39250,37345,41146
Honolulu County,Hawaii,15003,184358,178246,190956
Kalawao County,Hawaii,15005,10,3,25
Kauai County,Hawaii,15007,12923,11958,13878
Maui County,Hawaii,15009,31168,29522,32882
Ada County,Idaho,16001,83544,75850,90972
Adams County,Idaho,16003,1078,764,1415
Bannock County,Idaho,16005,18777,16838,20968
Bear Lake County,Idaho,16007,1249,924,1604
Benewah County,Idaho,16009,2079,1553,2682
Bingham County,Idaho,16011,10343,9064,11707
Blaine County,Idaho,16013,2778,2056,3598
Boise County,Idaho,16015,1777,1354,2288
Bonner County,Idaho,16017,8543,7147,10004
Bonneville County,Idaho,16019,22297,19930,24323
Boundary County,Idaho,16021,2400,1716,3104
Butte County,Idaho,16023,496,337,671
Camas County,Idaho,16025,245,157,353
Canyon County,Idaho,16027,51057,46973,55523
Caribou County,Idaho,16029,1356,955,1778
Cassia County,Idaho,16031,5259,4364,6232
Clark County,Idaho,16033,166,102,247
Clearwater County,Idaho,16035,2418,1939,2910
Custer County,Idaho,16037,804,577,1044
Elmore County,Idaho,16039,7014,5499,8622
Franklin County,Idaho,16041,2554,2024,3062
Fremont County,Idaho,16043,2650,1979,3383
Gem County,Idaho,16045,4887,3967,5799
Gooding County,Idaho,16047,3283,2616,3969
Idaho County,Idaho,16049,3860,3309,4378
Jefferson County,Idaho,16051,6382,5426,7441
Jerome County,Idaho,16053,5060,4124,6058
Kootenai County,Idaho,16055,30728,27680,34161
Latah County,Idaho,16057,7566,6457,8851
Lemhi County,Idaho,16059,1574,1180,2002
Lewis County,Idaho,16061,885,657,1141
Lincoln County,Idaho,16063,1091,771,1464
Madison County,Idaho,16065,6904,5627,8218
Minidoka County,Idaho,16067,4425,3540,5374
Nez Perce County,Idaho,16069,9265,8199,10387
Oneida County,Idaho,16071,986,725,1256
Owyhee County,Idaho,16073,3320,2608,4012
Payette County,Idaho,16075,6247,5263,7243
Power County,Idaho,16077,1967,1536,2406
Shoshone County,Idaho,16079,3451,2714,4230
Teton County,Idaho,16081,1570,1072,2158
Twin Falls County,Idaho,16083,18658,16466,21002
Valley County,Idaho,16085,2516,1807,3282
Washington County,Idaho,16087,2721,2182,3294
Adams County,Illinois,17001,18840,14319,23516
Alexander County,Illinois,17003,837,449,1447
Bond County,Illinois,17005,3589,2127,5315
